protocol_id,branch_id,branch_name,measurement_view,required,meaning,kpi_scope,missing_policy,claim_boundary
run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,cost_stress,true,spread/slippage stress read required when scoring exists,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,curve_pocket,true,curve pocket and underwater stretch read required when scoring exists,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,tier_a_separate,true,Tier A separate measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,tier_b_separate,true,Tier B separate measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,tier_a_plus_b_combined,true,Tier A+B combined measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,lot_normalized,true,lot-normalized read required before any scale interpretation,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,cost_stress,true,spread/slippage stress read required when scoring exists,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,curve_pocket,true,curve pocket and underwater stretch read required when scoring exists,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,tier_a_separate,true,Tier A separate measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,tier_b_separate,true,Tier B separate measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,tier_a_plus_b_combined,true,Tier A+B combined measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,lot_normalized,true,lot-normalized read required before any scale interpretation,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,cost_stress,true,spread/slippage stress read required when scoring exists,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,curve_pocket,true,curve pocket and underwater stretch read required when scoring exists,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,tier_a_separate,true,Tier A separate measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,tier_b_separate,true,Tier B separate measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,tier_a_plus_b_combined,true,Tier A+B combined measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,lot_normalized,true,lot-normalized read required before any scale interpretation,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,cost_stress,true,spread/slippage stress read required when scoring exists,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,curve_pocket,true,curve pocket and underwater stretch read required when scoring exists,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,tier_a_separate,true,Tier A separate measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,tier_b_separate,true,Tier B separate measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,tier_a_plus_b_combined,true,Tier A+B combined measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,lot_normalized,true,lot-normalized read required before any scale interpretation,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,cost_stress,true,spread/slippage stress read required when scoring exists,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,curve_pocket,true,curve pocket and underwater stretch read required when scoring exists,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,tier_a_separate,true,Tier A separate measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,tier_b_separate,true,Tier B separate measurement required,measurement_plan_only_no_new_trading_kpi,blocked_or_out_of_scope_by_claim_before_any_score_interpretation,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
