run_id,scan_id,source_bucket,runtime_param,operator,threshold,baseline_trade_count,kept_trade_count,removed_trade_count,baseline_net,kept_net,removed_net,losses_kept,proxy_effect,selection_boundary,timestamp_safety,claim_boundary
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_long_le_q50,synthetic_short_overlay,not_directly_runtime_supported,<=,0.3590158224,39,20,19,69.19,19.62,49.57,12,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_flat_le_q70,synthetic_short_overlay,not_directly_runtime_supported,<=,0.1941718847,39,27,12,69.19,18.7,50.49,14,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_short_ge_q30,synthetic_short_overlay,InpSyntheticShortSourcePShortMin,>=,0.4505048394,39,27,12,69.19,17.33,51.86,15,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_flat_le_q40,synthetic_short_overlay,not_directly_runtime_supported,<=,0.1707791984,39,16,23,69.19,16.45,52.74,8,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_flat_le_q50,synthetic_short_overlay,not_directly_runtime_supported,<=,0.1807612926,39,20,19,69.19,15.29,53.9,10,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_flat_le_q10,synthetic_short_overlay,not_directly_runtime_supported,<=,0.1554644913,39,4,35,69.19,13.87,55.32,1,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_flat_le_q30,synthetic_short_overlay,not_directly_runtime_supported,<=,0.1662813395,39,12,27,69.19,10.8,58.39,6,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_long_le_q10,synthetic_short_overlay,not_directly_runtime_supported,<=,0.3393269897,39,4,35,69.19,9.26,59.93,2,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_edge_short_vs_long_ge_q20,synthetic_short_overlay,InpSyntheticShortSourceMarginVsLongMin,>=,0.0868469477,39,31,8,69.19,5.65,63.54,18,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_flat_le_q20,synthetic_short_overlay,not_directly_runtime_supported,<=,0.1600079,39,8,31,69.19,4.75,64.44,4,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_short_ge_q70,synthetic_short_overlay,InpSyntheticShortSourcePShortMin,>=,0.4695296347,39,12,27,69.19,-6.23,75.42,7,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_edge_short_vs_long_ge_q60,synthetic_short_overlay,InpSyntheticShortSourceMarginVsLongMin,>=,0.105587101,39,16,23,69.19,-6.49,75.68,10,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_edge_short_vs_long_ge_q70,synthetic_short_overlay,InpSyntheticShortSourceMarginVsLongMin,>=,0.1134341717,39,12,27,69.19,-11.59,80.78,8,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_edge_short_vs_long_ge_q50,synthetic_short_overlay,InpSyntheticShortSourceMarginVsLongMin,>=,0.1030704975,39,20,19,69.19,-12.48,81.67,13,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_long_le_q30,synthetic_short_overlay,not_directly_runtime_supported,<=,0.3504273236,39,12,27,69.19,-16.44,85.63,8,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_short_ge_q80,synthetic_short_overlay,InpSyntheticShortSourcePShortMin,>=,0.4788710773,39,8,31,69.19,-16.82,86.01,5,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_edge_short_vs_long_ge_q30,synthetic_short_overlay,InpSyntheticShortSourceMarginVsLongMin,>=,0.0887786746,39,27,12,69.19,-17.4,86.59,17,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_edge_short_vs_long_ge_q80,synthetic_short_overlay,InpSyntheticShortSourceMarginVsLongMin,>=,0.1212666154,39,8,31,69.19,-18.12,87.31,6,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_short_ge_q60,synthetic_short_overlay,InpSyntheticShortSourcePShortMin,>=,0.4643763363,39,16,23,69.19,-19.16,88.35,11,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_long_le_q40,synthetic_short_overlay,not_directly_runtime_supported,<=,0.3573628962,39,16,23,69.19,-20.39,89.58,10,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_long_le_q20,synthetic_short_overlay,not_directly_runtime_supported,<=,0.3424394726,39,8,31,69.19,-25.84,95.03,6,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_edge_short_vs_long_ge_q40,synthetic_short_overlay,InpSyntheticShortSourceMarginVsLongMin,>=,0.0956667483,39,23,16,69.19,-37.97,107.16,16,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
