candidate_alias,candidate_id,candidate_role,source_test_id,state_profile,net_profit,profit_factor,trade_count,equity_drawdown_percent,worst_month,worst_month_net,worst_slice_axis,worst_slice_bucket,worst_slice_net,negative_month_count,positive_month_ratio,headline_gate,weak_slice_gate,profile_decision,priority,next_use,stop_rule,reopen_condition,do_not_claim
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,return_shock_absorption,1119.25,1.601527,310,14.77,2024-12,-154.12,weekday,Monday,-273.11,3,0.75,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_deep_slice_hole(깊은 구간 구멍 실패),oos_anchor_adapter_watch_if_slice_pressure_survives(구간 압박 생존 시 표본외 앵커 어댑터 관찰),P0,adapter_watch_only_after_slice_gate_improves(구간 게이트 개선 뒤 어댑터 관찰 전용),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_volatility_atr,return_shock_absorption,1117.68,1.574956,305,17.71,2024-12,-217.57,weekday,Monday,-274.62,3,0.75,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_deep_slice_hole(깊은 구간 구멍 실패),"control_profile_audit_not_adapter_selection(통제 프로필 감사, 어댑터 선택 아님)",P1,control_audit_against_challenger_pressure(도전자 압박 대비 통제 감사),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s264_lc,s264_lowrank_control,defensive_control,rep_volatility_atr,return_shock_absorption,1104.84,1.565862,314,16.89,2024-12,-230.4,weekday,Monday,-281.69,2,0.833333,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_deep_slice_hole(깊은 구간 구멍 실패),"control_profile_audit_not_adapter_selection(통제 프로필 감사, 어댑터 선택 아님)",P1,control_audit_against_challenger_pressure(도전자 압박 대비 통제 감사),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s264_lc,s264_lowrank_control,defensive_control,rep_trend_strength_adx,trend_strength_disagreement,1091.82,1.518401,317,17.62,2024-12,-196.9,weekday,Monday,-247.52,3,0.75,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_deep_slice_hole(깊은 구간 구멍 실패),"control_profile_audit_not_adapter_selection(통제 프로필 감사, 어댑터 선택 아님)",P1,control_audit_against_challenger_pressure(도전자 압박 대비 통제 감사),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s264_lc,s264_lowrank_control,defensive_control,rep_volatility_atr,range_expansion_pressure,1062.29,1.556823,309,17.26,2024-12,-228.89,weekday,Monday,-281.82,2,0.833333,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_deep_slice_hole(깊은 구간 구멍 실패),"control_profile_audit_not_adapter_selection(통제 프로필 감사, 어댑터 선택 아님)",P1,control_audit_against_challenger_pressure(도전자 압박 대비 통제 감사),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,trend_strength_disagreement,1015.1,1.488804,314,19.11,2024-12,-220.9,weekday,Monday,-330.16,3,0.75,"watch_only_lower_headline(관찰 전용, 대표 숫자 낮음)",fail_severe_slice_hole(심한 구간 구멍 실패),"constructive_watch_but_no_branch_selection(건설적 관찰, 분기 선택 아님)",P1,watch_only_or_prune_if_next_pressure_fails(관찰 전용 또는 다음 압박 실패 시 가지치기),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,trend_strength_disagreement,962.36,1.52157,300,17.93,2024-12,-202.0,weekday,Monday,-254.3,3,0.75,"watch_only_lower_headline(관찰 전용, 대표 숫자 낮음)",fail_deep_slice_hole(깊은 구간 구멍 실패),"constructive_watch_but_no_branch_selection(건설적 관찰, 분기 선택 아님)",P1,watch_only_or_prune_if_next_pressure_fails(관찰 전용 또는 다음 압박 실패 시 가지치기),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,range_expansion_pressure,907.51,1.486022,294,18.03,2024-12,-171.15,weekday,Monday,-291.27,3,0.75,"watch_only_lower_headline(관찰 전용, 대표 숫자 낮음)",fail_deep_slice_hole(깊은 구간 구멍 실패),"constructive_watch_but_no_branch_selection(건설적 관찰, 분기 선택 아님)",P1,watch_only_or_prune_if_next_pressure_fails(관찰 전용 또는 다음 압박 실패 시 가지치기),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,return_shock_absorption,885.68,1.477178,298,17.67,2024-12,-164.77,weekday,Monday,-283.01,3,0.75,"watch_only_lower_headline(관찰 전용, 대표 숫자 낮음)",fail_deep_slice_hole(깊은 구간 구멍 실패),"constructive_watch_but_no_branch_selection(건설적 관찰, 분기 선택 아님)",P1,watch_only_or_prune_if_next_pressure_fails(관찰 전용 또는 다음 압박 실패 시 가지치기),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s264_aih,s264_allow_inner_high_quarter,challenger_core,rep_trend_strength_adx,trend_strength_disagreement,844.71,1.548008,280,15.09,2024-12,-98.72,weekday,Monday,-212.63,3,0.75,"watch_only_lower_headline(관찰 전용, 대표 숫자 낮음)",watch_slice_pressure_required(구간 압박 필요),"constructive_watch_but_no_branch_selection(건설적 관찰, 분기 선택 아님)",P1,watch_only_or_prune_if_next_pressure_fails(관찰 전용 또는 다음 압박 실패 시 가지치기),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
