blueprint_id,branch_id,blueprint_name,required_input_identity,required_output_schema,required_gate,failure_condition,future_review_requirement,claim_boundary
offense_m48_plain_density_quality_seed__feature_family_seed_card_builder,offense_m48_plain_density_quality_seed,feature_family_seed_card_builder,predeclared_feature_family;source_clue_label;trade_density_target;independent_validation_contract,feature_family_seed_card;trade_density_target;independent_validation_contract;negative_clue_promotion_note,feature_family_declared_before_result_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__trade_density_target_runner,offense_m48_plain_density_quality_seed,trade_density_target_runner,predeclared_feature_family;source_clue_label;trade_density_target;independent_validation_contract,feature_family_seed_card;trade_density_target;independent_validation_contract;negative_clue_promotion_note,feature_family_declared_before_result_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__m48_clue_promotion_canary_runner,offense_m48_plain_density_quality_seed,m48_clue_promotion_canary_runner,source_protocol_id;control_id;mutation_or_canary_plan;expected_failure_signature;stop_condition,canary_result;expected_failure_observed;stop_condition_triggered;repair_note,negative_control_must_fail_on_shortcut,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__copy_runtime_result_canary_runner,offense_m48_plain_density_quality_seed,copy_runtime_result_canary_runner,source_protocol_id;control_id;mutation_or_canary_plan;expected_failure_signature;stop_condition,canary_result;expected_failure_observed;stop_condition_triggered;repair_note,negative_control_must_fail_on_shortcut,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__interaction_family_matrix_builder,offense_cost_buffer_feature_interaction_seed,interaction_family_matrix_builder,predeclared_feature_family;source_clue_label;trade_density_target;independent_validation_contract,feature_family_seed_card;trade_density_target;independent_validation_contract;negative_clue_promotion_note,feature_family_declared_before_result_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__regime_slice_runner,offense_cost_buffer_feature_interaction_seed,regime_slice_runner,trade_ledger;bar_timestamp;session;hour;month;volatility;ADX;VIX;USD;rate,session_hour_month_vol_adx_vix_usd_rate_attribution_table;negative_slice_note,regime_attribution_only_gate_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__cost_survival_validator,offense_cost_buffer_feature_interaction_seed,cost_survival_validator,trade_ledger;equity_curve;cost_grid;lot_policy;drawdown_series;branch_id,cost_stress_matrix;curve_pocket_matrix;underwater_stretch_report;lot_normalized_result,cost_curve_underwater_lot_gate_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__after_result_feature_pick_canary_runner,offense_cost_buffer_feature_interaction_seed,after_result_feature_pick_canary_runner,source_protocol_id;control_id;mutation_or_canary_plan;expected_failure_signature;stop_condition,canary_result;expected_failure_observed;stop_condition_triggered;repair_note,negative_control_must_fail_on_shortcut,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__runtime_handoff_manifest_builder,runtime_parity_probe_bridge_contract,runtime_handoff_manifest_builder,feature_order_hash;model_bundle_hash;adapter_hash;threshold_risk_lot_hash;MT5_report_path;telemetry_path;row_level_parity_path,runtime_identity_manifest;row_level_parity_schema;tester_report_telemetry_manifest;external_verification_status,runtime_identity_and_row_level_parity_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__row_level_parity_schema_builder,runtime_parity_probe_bridge_contract,row_level_parity_schema_builder,feature_order_hash;model_bundle_hash;adapter_hash;threshold_risk_lot_hash;MT5_report_path;telemetry_path;row_level_parity_path,runtime_identity_manifest;row_level_parity_schema;tester_report_telemetry_manifest;external_verification_status,runtime_identity_and_row_level_parity_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__tester_telemetry_manifest_validator,runtime_parity_probe_bridge_contract,tester_telemetry_manifest_validator,feature_order_hash;model_bundle_hash;adapter_hash;threshold_risk_lot_hash;MT5_report_path;telemetry_path;row_level_parity_path,runtime_identity_manifest;row_level_parity_schema;tester_report_telemetry_manifest;external_verification_status,runtime_identity_and_row_level_parity_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__proxy_mt5_diff_table_builder,runtime_parity_probe_bridge_contract,proxy_mt5_diff_table_builder,proxy_expected_result_table;fresh_mt5_runtime_probe_result_table;tester_identity;feature_order_hash;model_hash;threshold_hash,expected_vs_mt5_difference_rows;usability_label;not_usable_reason;identity_match_flag,proxy_expected_result_and_fresh_mt5_difference_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_negative_control_repair__branch_specific_canary_runner_matrix,cross_branch_negative_control_repair,branch_specific_canary_runner_matrix,source_protocol_id;control_id;mutation_or_canary_plan;expected_failure_signature;stop_condition,canary_result;expected_failure_observed;stop_condition_triggered;repair_note,negative_control_must_fail_on_shortcut,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_negative_control_repair__negative_control_binding_audit,cross_branch_negative_control_repair,negative_control_binding_audit,source_protocol_id;control_id;mutation_or_canary_plan;expected_failure_signature;stop_condition,canary_result;expected_failure_observed;stop_condition_triggered;repair_note,negative_control_must_fail_on_shortcut,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__proxy_expected_table_schema,cross_branch_runtime_usability,proxy_expected_table_schema,proxy_expected_result_table;fresh_mt5_runtime_probe_result_table;tester_identity;feature_order_hash;model_hash;threshold_hash,expected_vs_mt5_difference_rows;usability_label;not_usable_reason;identity_match_flag,proxy_expected_result_and_fresh_mt5_difference_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__fresh_mt5_runtime_probe_result_schema,cross_branch_runtime_usability,fresh_mt5_runtime_probe_result_schema,proxy_expected_result_table;fresh_mt5_runtime_probe_result_table;tester_identity;feature_order_hash;model_hash;threshold_hash,expected_vs_mt5_difference_rows;usability_label;not_usable_reason;identity_match_flag,proxy_expected_result_and_fresh_mt5_difference_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__difference_table_schema,cross_branch_runtime_usability,difference_table_schema,proxy_expected_result_table;fresh_mt5_runtime_probe_result_table;tester_identity;feature_order_hash;model_hash;threshold_hash,expected_vs_mt5_difference_rows;usability_label;not_usable_reason;identity_match_flag,proxy_expected_result_and_fresh_mt5_difference_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__usability_decision_template,cross_branch_runtime_usability,usability_decision_template,proxy_expected_result_table;fresh_mt5_runtime_probe_result_table;tester_identity;feature_order_hash;model_hash;threshold_hash,expected_vs_mt5_difference_rows;usability_label;not_usable_reason;identity_match_flag,proxy_expected_result_and_fresh_mt5_difference_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_data_integrity__tier_pair_record_runner,cross_branch_data_integrity,tier_pair_record_runner,Tier_A_record;Tier_B_record;actual_routed_total;closed_bar_timestamp;threshold_manifest;lot_manifest,Tier_A_separate;Tier_B_separate_or_missing_required;actual_routed_total;future_shift_join_result;threshold_lot_freeze_manifest,tier_no_lookahead_threshold_lot_freeze_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_data_integrity__future_shift_join_canary_runner,cross_branch_data_integrity,future_shift_join_canary_runner,source_protocol_id;control_id;mutation_or_canary_plan;expected_failure_signature;stop_condition,canary_result;expected_failure_observed;stop_condition_triggered;repair_note,negative_control_must_fail_on_shortcut,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_data_integrity__threshold_lot_freeze_manifest_builder,cross_branch_data_integrity,threshold_lot_freeze_manifest_builder,Tier_A_record;Tier_B_record;actual_routed_total;closed_bar_timestamp;threshold_manifest;lot_manifest,Tier_A_separate;Tier_B_separate_or_missing_required;actual_routed_total;future_shift_join_result;threshold_lot_freeze_manifest,tier_no_lookahead_threshold_lot_freeze_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
