source_path,exists,sha256,review_status,review_finding,consumer,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/core56_asof_source_handoff_package.csv,true,06998ab380bd29a0734e697d8b88d6ce2e53843f51ecf2244fd9f54b60a43c7f,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/cost_direction_curve_extractor_package.csv,true,b485958ba47d505642b88a5a1c3620f47dbec3f09595aed17033d23aaf893dd4,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/regime_asof_source_inventory.csv,true,356329fe3ddac5f2301ea34f820d3d0f1904e594ab7070babd8f1811637bbc9f,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/runtime_identity_preflight_package.csv,true,c4615e8954da5b87f1d26a0d606fe9e729cdcb643569078aa2cd3fb86dbcd374,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/claim_boundary_output_registry_binding.csv,true,3db49e5e52efd7f09d896a9312d56b05ef7ec88597fbf54f159b266034fed3f3,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/run337M_proxy_mt5_input_review_queue.csv,true,168c6484ee0c053a7c7bb8a915e4f7d23281799db0423dae418bf9e9053a19b8,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/required_gate_coverage_audit.csv,true,195ad5adf88ff1759a098bb57ae7030d76873744b618839a76e27db084ada476,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/result_judgment.csv,true,c573f0321a98ac268329a0660a0dd9b0f69221e17b78495cbc4e0819b47b27bb,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/final_proxy_mt5_probe_input_materialization_decision.json,true,789ce3c131bcfa985114665a8ec153d62e391152d4149aa0cd6d732deeec505c,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/run_manifest.json,true,a7ca8958e407125247019a4cd3a179d9df0213234b4ae378596ae1f2908f9885,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
