run_id,model_id,threshold_id,exit_mode,max_hold_m5,split,cost_per_trade,sample_trade_count,sample_net,sample_profit_factor,claim_boundary
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h24_move8__rf5_l80_n64,long_only_margin__density_20_0__maxhold_12__flat_or_opp,flat_or_opp,12,oos,0.45,80,12.849,1.0812713472,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h24_move8__rf5_l80_n64,long_only_margin__density_20_0__maxhold_12__flat_or_opp,flat_or_opp,12,oos,0.6,80,0.849,1.0051591497,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_8__weak_or_opp,weak_or_opp,8,validation,0.3,80,4.196,1.0291471877,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_8__weak_or_opp,weak_or_opp,8,validation,0.45,80,-7.804,0.9482695762,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_8__weak_or_opp,weak_or_opp,8,validation,0.6,80,-19.804,0.8744667499,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_8__weak_or_opp,weak_or_opp,8,oos,0.3,80,40.55,1.4823705748,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_8__weak_or_opp,weak_or_opp,8,oos,0.45,80,28.55,1.316511829,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_8__weak_or_opp,weak_or_opp,8,oos,0.6,80,16.55,1.170967542,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_12__weak_or_opp,weak_or_opp,12,validation,0.3,80,5.209,1.0366322778,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_12__weak_or_opp,weak_or_opp,12,validation,0.45,80,-6.791,0.9544982479,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_12__weak_or_opp,weak_or_opp,12,validation,0.6,80,-18.791,0.8797737641,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_12__weak_or_opp,weak_or_opp,12,oos,0.3,80,38.424,1.4320896026,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_12__weak_or_opp,weak_or_opp,12,oos,0.45,80,26.424,1.2779601111,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_12__weak_or_opp,weak_or_opp,12,oos,0.6,80,14.424,1.1418791313,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,validation,0.3,80,-24.618,0.8260482469,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,validation,0.45,80,-36.618,0.7532845535,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,validation,0.6,80,-48.618,0.6869857457,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,oos,0.3,80,32.71,1.3955881819,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,oos,0.45,80,20.71,1.2331550802,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,oos,0.6,80,8.71,1.0912758711,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
