failure_axis,forbidden_rule_id,forbidden_rule,check_status,effect
direction,direct_forward_pocket_filtering,no direct date/hour/month/regime exclusion copied from failure pockets,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
direction,side_drop_or_side_threshold,no dropping long/short side after seeing direction failure,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
direction,runtime_authority_claim,no runtime authority without MT5 tester output and telemetry,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
direction,subject_swap,cp322A exact cannot consume run333E or non-identity evidence as exact handoff,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
drawdown_shape,model_training,no new model training in run335B,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
drawdown_shape,threshold_retuning,no threshold search or calibration from Stage334/335 results,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
drawdown_shape,lot_optimization,no lot or risk optimization from failure memory,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
drawdown_shape,direct_forward_pocket_filtering,no direct date/hour/month/regime exclusion copied from failure pockets,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
drawdown_shape,side_drop_or_side_threshold,no dropping long/short side after seeing direction failure,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
drawdown_shape,runtime_authority_claim,no runtime authority without MT5 tester output and telemetry,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
drawdown_shape,subject_swap,cp322A exact cannot consume run333E or non-identity evidence as exact handoff,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
regime_slice,model_training,no new model training in run335B,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
regime_slice,threshold_retuning,no threshold search or calibration from Stage334/335 results,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
regime_slice,lot_optimization,no lot or risk optimization from failure memory,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
regime_slice,direct_forward_pocket_filtering,no direct date/hour/month/regime exclusion copied from failure pockets,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
regime_slice,side_drop_or_side_threshold,no dropping long/short side after seeing direction failure,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
regime_slice,runtime_authority_claim,no runtime authority without MT5 tester output and telemetry,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
regime_slice,subject_swap,cp322A exact cannot consume run333E or non-identity evidence as exact handoff,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
runtime_parity,model_training,no new model training in run335B,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
runtime_parity,threshold_retuning,no threshold search or calibration from Stage334/335 results,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
runtime_parity,lot_optimization,no lot or risk optimization from failure memory,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
runtime_parity,direct_forward_pocket_filtering,no direct date/hour/month/regime exclusion copied from failure pockets,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
runtime_parity,side_drop_or_side_threshold,no dropping long/short side after seeing direction failure,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
runtime_parity,runtime_authority_claim,no runtime authority without MT5 tester output and telemetry,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
runtime_parity,subject_swap,cp322A exact cannot consume run333E or non-identity evidence as exact handoff,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
cp322a_exact_forward_handoff_missing,model_training,no new model training in run335B,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
cp322a_exact_forward_handoff_missing,threshold_retuning,no threshold search or calibration from Stage334/335 results,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
cp322a_exact_forward_handoff_missing,lot_optimization,no lot or risk optimization from failure memory,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
cp322a_exact_forward_handoff_missing,direct_forward_pocket_filtering,no direct date/hour/month/regime exclusion copied from failure pockets,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
cp322a_exact_forward_handoff_missing,side_drop_or_side_threshold,no dropping long/short side after seeing direction failure,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
cp322a_exact_forward_handoff_missing,runtime_authority_claim,no runtime authority without MT5 tester output and telemetry,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
cp322a_exact_forward_handoff_missing,subject_swap,cp322A exact cannot consume run333E or non-identity evidence as exact handoff,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
