evidence_label,path,exists,sha256,consumer,boundary
stage59ar_decision,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/03_reviews/stage59ar_decision.md,True,36a779750429acdd46d4881784674031ba321597060b995dd4b7bc1aba92f553,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage59ar_summary,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/03_reviews/bounded_followup_summary.csv,True,cb7f9609c970c419000b49cf7ed4b70ac5a30ff108cc0ea81ae85a73697c49c4,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage59ar_segment_kpi,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/03_reviews/bounded_followup_segment_kpi_summary.csv,True,3b7db10e037b6d9ca8f0f62b3d32bdbe6dc44281f38a70cfac04aa2c0332249f,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage59ar_equity_curve_audit,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/03_reviews/bounded_followup_equity_curve_audit.md,True,4980418f2f6223a1a0dbd0643741811ae599cb80163a1a56caf5666b42f5d2ee,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage59ar_risk_atr_telemetry,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/03_reviews/bounded_followup_risk_atr_telemetry.csv,True,495a22e911c6cb267f7164aeaaf6c96afe9856662256a021ccea9602347f3c69,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage60_decision,stages/60_adapter_onnx__hardening_runtime_reproduction/03_reviews/stage60_decision.md,True,4e5d864d4ccb53bdce763f64682de5dde5305a01268d8a02b00c612a664a3d91,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage60_onnx_export_report,stages/60_adapter_onnx__hardening_runtime_reproduction/03_reviews/onnx_export_report.json,True,69d05a3ccda9f45dfc2243583fa9145418bda1eb069af959d960595b7121b4c1,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage60_onnx_parity_report,stages/60_adapter_onnx__hardening_runtime_reproduction/03_reviews/onnx_parity_report.json,True,ef2b3e0d163d7495e74b6825661af0ae2bba49d191f3c31ed1747e292a823522,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage60_runtime_reproduction,stages/60_adapter_onnx__hardening_runtime_reproduction/03_reviews/mt5_onnx_runtime_reproduction.md,True,d8518f8a5cefe4dfab9a9d6c3d2de372bfb40228b9fe949fdcbac71db4478203,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage60_runtime_summary_json,stages/60_adapter_onnx__hardening_runtime_reproduction/03_reviews/mt5_onnx_runtime_summary.json,True,e3da7b9607d54d379ca5d5a73ff21ebdccf412b8b6c0b04df901ae6564ec032c,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage60_runtime_summary_csv,stages/60_adapter_onnx__hardening_runtime_reproduction/03_reviews/mt5_onnx_runtime_summary.csv,True,8927d968f128ec14c30e1467d26cd99fa6d34b09af6cd6ead53bcfbbae292c4b,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage60_segment_kpi,stages/60_adapter_onnx__hardening_runtime_reproduction/03_reviews/mt5_onnx_segment_kpi_summary.csv,True,7be6c9cc8fcbab2e8e8109bdab7247a6617dc015170e436fc6e298af0ff181f7,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage60_risk_atr_telemetry,stages/60_adapter_onnx__hardening_runtime_reproduction/03_reviews/mt5_onnx_risk_atr_telemetry.csv,True,83a99e3b1c9a8c15c02474f1f0c9a799cdcf346a31c9fb9b92e97bd64781ab7d,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
