queue_id,attempt_name,artifact_slug,stress_axis,scenario_id,severity,materialization_action,source_feature_matrix,source_model,source_trade_records,source_slice_report,instruction,allowed_change,selection_eligible,claim_boundary
run334F_c56_plain_rf_worst_regime_slice,c56_plain_rf,c56_plain,regime_slice,worst_regime_slice,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,inspect worst session/hour/month/volatility/ADX/VIX/USD/rate slice,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_plain_rf_directional_side,c56_plain_rf,c56_plain,direction,directional_side,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,audit weak long/short side without dropping a direction,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_plain_rf_underwater_stretch,c56_plain_rf,c56_plain,drawdown_shape,underwater_stretch,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,inspect underwater stretch as a trade-shape risk,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_plain_rf_runtime_identity,c56_plain_rf,c56_plain,runtime_parity,runtime_identity,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,verify feature/model/set/report/telemetry identity before any rerun,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_bal_rf_cost_plus_1,m48_bal_rf,m48_bal,cost_stress,cost_plus_1,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,require PF after +1.0 synthetic round-trip cost to stay above 1 as a diagnostic hurdle,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_bal_rf_cost_plus_2,m48_bal_rf,m48_bal,cost_stress,cost_plus_2,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,record whether +2.0 synthetic cost breaks the surface,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_bal_rf_rolling_worst_curve,m48_bal_rf,m48_bal,curve_pocket,rolling_worst_curve,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,replay worst rolling pocket without date exclusion or threshold changes,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_bal_rf_worst_regime_slice,m48_bal_rf,m48_bal,regime_slice,worst_regime_slice,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,inspect worst session/hour/month/volatility/ADX/VIX/USD/rate slice,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_bal_rf_directional_side,m48_bal_rf,m48_bal,direction,directional_side,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,audit weak long/short side without dropping a direction,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_bal_rf_underwater_stretch,m48_bal_rf,m48_bal,drawdown_shape,underwater_stretch,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,inspect underwater stretch as a trade-shape risk,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_bal_rf_runtime_identity,m48_bal_rf,m48_bal,runtime_parity,runtime_identity,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,verify feature/model/set/report/telemetry identity before any rerun,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_cost_plus_1,m48_plain_rf,m48_plain,cost_stress,cost_plus_1,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,require PF after +1.0 synthetic round-trip cost to stay above 1 as a diagnostic hurdle,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_cost_plus_2,m48_plain_rf,m48_plain,cost_stress,cost_plus_2,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,record whether +2.0 synthetic cost breaks the surface,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_rolling_worst_curve,m48_plain_rf,m48_plain,curve_pocket,rolling_worst_curve,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,replay worst rolling pocket without date exclusion or threshold changes,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_worst_regime_slice,m48_plain_rf,m48_plain,regime_slice,worst_regime_slice,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,inspect worst session/hour/month/volatility/ADX/VIX/USD/rate slice,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_directional_side,m48_plain_rf,m48_plain,direction,directional_side,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,audit weak long/short side without dropping a direction,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_underwater_stretch,m48_plain_rf,m48_plain,drawdown_shape,underwater_stretch,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,inspect underwater stretch as a trade-shape risk,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_plain_rf_runtime_identity,m48_plain_rf,m48_plain,runtime_parity,runtime_identity,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/m48_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/m48_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,verify feature/model/set/report/telemetry identity before any rerun,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_u42_bal_rf_cost_plus_1,u42_bal_rf,u42_bal,cost_stress,cost_plus_1,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/u42_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/u42_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,require PF after +1.0 synthetic round-trip cost to stay above 1 as a diagnostic hurdle,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
