plan_id,branch_id,gate_id,required_measurement,future_output_table_name,review_requirement,failure_memory_trigger,execution_order,forbidden_shortcut,claim_boundary
defense_cost_curve_underwater_gate__regime_slice_gate,defense_cost_curve_underwater_gate,regime_slice_gate,session;hour;month;volatility;ADX;VIX;USD;rate regime slices,defense_cost_curve_underwater_gate__regime_slice_gate_table,slices explain behavior but cannot be direct forward pocket filters,single slice explains most profit or loss,before_any_branch_comparison,pick_profitable_slice_after_result,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__lot_normalized_gate,defense_cost_curve_underwater_gate,lot_normalized_gate,lot-normalized net;expectancy;DD;cost stress,defense_cost_curve_underwater_gate__lot_normalized_gate_table,lot changes cannot be used as optimization or repair,headline profit depends on sizing rather than signal,before_any_branch_comparison,lot_optimization,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__cost_buffer_gate,defense_direction_symmetry_negative_control,cost_buffer_gate,cost_plus_0_25;cost_plus_0_5;cost_plus_1_0;cost_plus_2_0,defense_direction_symmetry_negative_control__cost_buffer_gate_table,report full stress curve before any comparison; do not tune spread/slippage after result,profit survives only at zero or tiny cost,before_any_branch_comparison,ignore_cost_stress;change_lot_to_hide_cost,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__curve_pocket_gate,defense_direction_symmetry_negative_control,curve_pocket_gate,rolling5;rolling10;rolling20;rolling50 worst pocket,defense_direction_symmetry_negative_control__curve_pocket_gate_table,report curve pocket before selection; direct calendar pocket filter is forbidden,one pocket dominates net/PF or breaks recovery,before_any_branch_comparison,drop_forward_calendar_dates,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__underwater_stretch_gate,defense_direction_symmetry_negative_control,underwater_stretch_gate,max underwater stretch;recovery factor;drawdown duration,defense_direction_symmetry_negative_control__underwater_stretch_gate_table,"underwater stretch must be named with net/PF, not hidden behind headline profit",long unrecovered pocket or recovery collapse,before_any_branch_comparison,read_profit_without_drawdown_duration,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__direction_attribution_gate,defense_direction_symmetry_negative_control,direction_attribution_gate,long count;short count;long PnL;short PnL;side DD;side expectancy,defense_direction_symmetry_negative_control__direction_attribution_gate_table,side routing change requires predeclared side-specific failure evidence,one side carries loss while total is masked,before_any_branch_comparison,drop_losing_side_after_result,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__regime_slice_gate,defense_direction_symmetry_negative_control,regime_slice_gate,session;hour;month;volatility;ADX;VIX;USD;rate regime slices,defense_direction_symmetry_negative_control__regime_slice_gate_table,slices explain behavior but cannot be direct forward pocket filters,single slice explains most profit or loss,before_any_branch_comparison,pick_profitable_slice_after_result,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__lot_normalized_gate,defense_direction_symmetry_negative_control,lot_normalized_gate,lot-normalized net;expectancy;DD;cost stress,defense_direction_symmetry_negative_control__lot_normalized_gate_table,lot changes cannot be used as optimization or repair,headline profit depends on sizing rather than signal,before_any_branch_comparison,lot_optimization,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__cost_buffer_gate,offense_m48_plain_density_quality_seed,cost_buffer_gate,cost_plus_0_25;cost_plus_0_5;cost_plus_1_0;cost_plus_2_0,offense_m48_plain_density_quality_seed__cost_buffer_gate_table,report full stress curve before any comparison; do not tune spread/slippage after result,profit survives only at zero or tiny cost,before_any_branch_comparison,ignore_cost_stress;change_lot_to_hide_cost,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__curve_pocket_gate,offense_m48_plain_density_quality_seed,curve_pocket_gate,rolling5;rolling10;rolling20;rolling50 worst pocket,offense_m48_plain_density_quality_seed__curve_pocket_gate_table,report curve pocket before selection; direct calendar pocket filter is forbidden,one pocket dominates net/PF or breaks recovery,before_any_branch_comparison,drop_forward_calendar_dates,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__underwater_stretch_gate,offense_m48_plain_density_quality_seed,underwater_stretch_gate,max underwater stretch;recovery factor;drawdown duration,offense_m48_plain_density_quality_seed__underwater_stretch_gate_table,"underwater stretch must be named with net/PF, not hidden behind headline profit",long unrecovered pocket or recovery collapse,before_any_branch_comparison,read_profit_without_drawdown_duration,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__direction_attribution_gate,offense_m48_plain_density_quality_seed,direction_attribution_gate,long count;short count;long PnL;short PnL;side DD;side expectancy,offense_m48_plain_density_quality_seed__direction_attribution_gate_table,side routing change requires predeclared side-specific failure evidence,one side carries loss while total is masked,before_any_branch_comparison,drop_losing_side_after_result,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__regime_slice_gate,offense_m48_plain_density_quality_seed,regime_slice_gate,session;hour;month;volatility;ADX;VIX;USD;rate regime slices,offense_m48_plain_density_quality_seed__regime_slice_gate_table,slices explain behavior but cannot be direct forward pocket filters,single slice explains most profit or loss,before_any_branch_comparison,pick_profitable_slice_after_result,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__lot_normalized_gate,offense_m48_plain_density_quality_seed,lot_normalized_gate,lot-normalized net;expectancy;DD;cost stress,offense_m48_plain_density_quality_seed__lot_normalized_gate_table,lot changes cannot be used as optimization or repair,headline profit depends on sizing rather than signal,before_any_branch_comparison,lot_optimization,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__cost_buffer_gate,offense_cost_buffer_feature_interaction_seed,cost_buffer_gate,cost_plus_0_25;cost_plus_0_5;cost_plus_1_0;cost_plus_2_0,offense_cost_buffer_feature_interaction_seed__cost_buffer_gate_table,report full stress curve before any comparison; do not tune spread/slippage after result,profit survives only at zero or tiny cost,before_any_branch_comparison,ignore_cost_stress;change_lot_to_hide_cost,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__curve_pocket_gate,offense_cost_buffer_feature_interaction_seed,curve_pocket_gate,rolling5;rolling10;rolling20;rolling50 worst pocket,offense_cost_buffer_feature_interaction_seed__curve_pocket_gate_table,report curve pocket before selection; direct calendar pocket filter is forbidden,one pocket dominates net/PF or breaks recovery,before_any_branch_comparison,drop_forward_calendar_dates,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__underwater_stretch_gate,offense_cost_buffer_feature_interaction_seed,underwater_stretch_gate,max underwater stretch;recovery factor;drawdown duration,offense_cost_buffer_feature_interaction_seed__underwater_stretch_gate_table,"underwater stretch must be named with net/PF, not hidden behind headline profit",long unrecovered pocket or recovery collapse,before_any_branch_comparison,read_profit_without_drawdown_duration,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__direction_attribution_gate,offense_cost_buffer_feature_interaction_seed,direction_attribution_gate,long count;short count;long PnL;short PnL;side DD;side expectancy,offense_cost_buffer_feature_interaction_seed__direction_attribution_gate_table,side routing change requires predeclared side-specific failure evidence,one side carries loss while total is masked,before_any_branch_comparison,drop_losing_side_after_result,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__regime_slice_gate,offense_cost_buffer_feature_interaction_seed,regime_slice_gate,session;hour;month;volatility;ADX;VIX;USD;rate regime slices,offense_cost_buffer_feature_interaction_seed__regime_slice_gate_table,slices explain behavior but cannot be direct forward pocket filters,single slice explains most profit or loss,before_any_branch_comparison,pick_profitable_slice_after_result,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__lot_normalized_gate,offense_cost_buffer_feature_interaction_seed,lot_normalized_gate,lot-normalized net;expectancy;DD;cost stress,offense_cost_buffer_feature_interaction_seed__lot_normalized_gate_table,lot changes cannot be used as optimization or repair,headline profit depends on sizing rather than signal,before_any_branch_comparison,lot_optimization,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__cost_buffer_gate,runtime_parity_probe_bridge_contract,cost_buffer_gate,cost_plus_0_25;cost_plus_0_5;cost_plus_1_0;cost_plus_2_0,runtime_parity_probe_bridge_contract__cost_buffer_gate_table,report full stress curve before any comparison; do not tune spread/slippage after result,profit survives only at zero or tiny cost,before_any_branch_comparison,ignore_cost_stress;change_lot_to_hide_cost,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__curve_pocket_gate,runtime_parity_probe_bridge_contract,curve_pocket_gate,rolling5;rolling10;rolling20;rolling50 worst pocket,runtime_parity_probe_bridge_contract__curve_pocket_gate_table,report curve pocket before selection; direct calendar pocket filter is forbidden,one pocket dominates net/PF or breaks recovery,before_any_branch_comparison,drop_forward_calendar_dates,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__underwater_stretch_gate,runtime_parity_probe_bridge_contract,underwater_stretch_gate,max underwater stretch;recovery factor;drawdown duration,runtime_parity_probe_bridge_contract__underwater_stretch_gate_table,"underwater stretch must be named with net/PF, not hidden behind headline profit",long unrecovered pocket or recovery collapse,before_any_branch_comparison,read_profit_without_drawdown_duration,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__direction_attribution_gate,runtime_parity_probe_bridge_contract,direction_attribution_gate,long count;short count;long PnL;short PnL;side DD;side expectancy,runtime_parity_probe_bridge_contract__direction_attribution_gate_table,side routing change requires predeclared side-specific failure evidence,one side carries loss while total is masked,before_any_branch_comparison,drop_losing_side_after_result,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__regime_slice_gate,runtime_parity_probe_bridge_contract,regime_slice_gate,session;hour;month;volatility;ADX;VIX;USD;rate regime slices,runtime_parity_probe_bridge_contract__regime_slice_gate_table,slices explain behavior but cannot be direct forward pocket filters,single slice explains most profit or loss,before_any_branch_comparison,pick_profitable_slice_after_result,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__lot_normalized_gate,runtime_parity_probe_bridge_contract,lot_normalized_gate,lot-normalized net;expectancy;DD;cost stress,runtime_parity_probe_bridge_contract__lot_normalized_gate_table,lot changes cannot be used as optimization or repair,headline profit depends on sizing rather than signal,before_any_branch_comparison,lot_optimization,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
