schema_order,schema_id,source_queue_id,candidate_id,candidate_alias,test_id,feature_family,queue_lane,base_surface_file,base_feature_order_hash,removed_columns,removed_column_count,variant_feature_count,variant_feature_order,variant_feature_order_hash,model_rebuild_required,mt5_execution_allowed,blocked_reason,schema_status,selected_candidate,onnx_readiness
11,run267V_11_s262_lih_abl_ma_trend,run267V_11_s262_lih_abl_ma_trend,s262_lowrank_inner_half_filter,s262_lih,abl_ma_trend,moving_average_trend,upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s262_lih/s262_lih_upstream_raw_feature_surface.csv,962c6a5160e2a407440f94f5fc87422cd79f6aeb77baa9e29e0825233fd6b713,ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio,6,27,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;adx_14;di_spread_14;supertrend_10_3;vortex_indicator;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,7ce446883c049f8de05b14cf7e84414f1d6df8b014fcd5e59112694bfc1b8f71,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
12,run267V_12_s262_lih_abl_trend_strength_direction,run267V_12_s262_lih_abl_trend_strength_direction,s262_lowrank_inner_half_filter,s262_lih,abl_trend_strength_direction,trend_strength_direction,upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s262_lih/s262_lih_upstream_raw_feature_surface.csv,962c6a5160e2a407440f94f5fc87422cd79f6aeb77baa9e29e0825233fd6b713,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,4,29,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,550d97afbf6b7ed679baa81e9364ec919f733cc224d6ad6e435931e5e71e116c,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
13,run267V_13_s262_lih_rep_trend_strength_adx,run267V_13_s262_lih_rep_trend_strength_adx,s262_lowrank_inner_half_filter,s262_lih,rep_trend_strength_adx,trend_strength(추세 강도),upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s262_lih/s262_lih_upstream_raw_feature_surface.csv,962c6a5160e2a407440f94f5fc87422cd79f6aeb77baa9e29e0825233fd6b713,adx_14,1,32,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,e8c788c3bb0ef37f39c7b9d3e3f963bbe80b877b2aa9d2dccc623b6ee1a6a320,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
14,run267V_14_s262_lih_rep_volatility_atr,run267V_14_s262_lih_rep_volatility_atr,s262_lowrank_inner_half_filter,s262_lih,rep_volatility_atr,volatility_risk(변동성 위험),upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s262_lih/s262_lih_upstream_raw_feature_surface.csv,962c6a5160e2a407440f94f5fc87422cd79f6aeb77baa9e29e0825233fd6b713,atr_14,1,32,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;adx_14;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,96e663581264f20e6acc29f06f8d267a2af27e7ced4c3fa851d18e0c645ec725,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
15,run267V_15_s264_aia_abl_volatility_bandwidth,run267V_15_s264_aia_abl_volatility_bandwidth,s264_allow_inner_all_oos_anchor,s264_aia,abl_volatility_bandwidth,volatility_bandwidth,upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_aia/s264_aia_upstream_raw_feature_surface.csv,a601b77d511127fabdcd239aea6b0da8ee51a592dc6ddb9c9d05c071cddce1a9,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,8,25,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;adx_14;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,25771098b903afabca2f0245af6e04b4e1d08379572d081c583cc431001a0729,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
16,run267V_16_s264_aia_abl_trend_strength_direction,run267V_16_s264_aia_abl_trend_strength_direction,s264_allow_inner_all_oos_anchor,s264_aia,abl_trend_strength_direction,trend_strength_direction,upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_aia/s264_aia_upstream_raw_feature_surface.csv,a601b77d511127fabdcd239aea6b0da8ee51a592dc6ddb9c9d05c071cddce1a9,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,4,29,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,a8683f8b70e14d48e5a925daaf95e723800a7a708d2dfc078ffc150423e74997,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
17,run267V_17_s264_aia_abl_session_timing,run267V_17_s264_aia_abl_session_timing,s264_allow_inner_all_oos_anchor,s264_aia,abl_session_timing,session_timing,upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_aia/s264_aia_upstream_raw_feature_surface.csv,a601b77d511127fabdcd239aea6b0da8ee51a592dc6ddb9c9d05c071cddce1a9,minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close,4,29,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;adx_14;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,5ff40f20228b5e9208098ae962c431c8f07efcd65da3df64e96e96df6e6f9025,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
18,run267V_18_s264_aia_rep_trend_strength_adx,run267V_18_s264_aia_rep_trend_strength_adx,s264_allow_inner_all_oos_anchor,s264_aia,rep_trend_strength_adx,trend_strength(추세 강도),upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_aia/s264_aia_upstream_raw_feature_surface.csv,a601b77d511127fabdcd239aea6b0da8ee51a592dc6ddb9c9d05c071cddce1a9,adx_14,1,32,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,3fa971741f7384c060223564505aa4e6fc5a87ace83bf50c8e82bc4f01fa4a2e,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
19,run267V_19_s264_aia_rep_volatility_atr,run267V_19_s264_aia_rep_volatility_atr,s264_allow_inner_all_oos_anchor,s264_aia,rep_volatility_atr,volatility_risk(변동성 위험),upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s264_aia/s264_aia_upstream_raw_feature_surface.csv,a601b77d511127fabdcd239aea6b0da8ee51a592dc6ddb9c9d05c071cddce1a9,atr_14,1,32,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;adx_14;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,057a939561d360f5b6f80e7e505f4ded89da87cb4f89dec12bf23756e6199274,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
20,run267V_20_s258_stc_abl_price_return_range,run267V_20_s258_stc_abl_price_return_range,s258_short_tight_control,s258_stc,abl_price_return_range,price_return_range,upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267V/upstream_feature_surface_reconstruction/surfaces/s258_stc/s258_stc_upstream_raw_feature_surface.csv,ed42254fc79b8ea3caaee9d65bf2eedcc0cd51d84b53ed707f6062c40d341be7,log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,8,25,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;adx_14;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close,93d4c35ee6b1f7382d4199fe81a9452ce77c3a4938fbf7b13ec22f5ebcc713f5,true,false,score_table_not_rebuilt_for_variant_feature_order,true_internal_schema_ready_model_rebuild_pending,none,not_claimed
