queue_id,source_queue_id,priority,candidate_id,candidate_alias,candidate_role,state_profile,state_feature,source_test_id,source_queue_id_run267W,source_feature_family,component_columns,component_transforms,aggregation,intent,materialization_status,source_evidence,success_criteria,failure_criteria,stop_conditions,claim_boundary
run267AO_s262_lih_range_expansion_pressure,run267AO_q01_pool_wide_noncalendar_state_feature_engineering_matrix,P0,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,range_expansion_pressure,stage267_state_range_expansion_pressure_score,rep_volatility_atr,run267W_14_s262_lih_rep_volatility_atr,volatility_risk(변동성 위험),hl_range;close_open_ratio;gap_percent;bb_position_20,raw;abs_center_1;abs;abs_center_0_5,mean_high_pressure,check_if_range_expansion_state_is_more_structural_than_single_ATR_or_ADX_repair,ready_for_score_table_materialization,"run267AM repair gate failed;rep_volatility_atr:monday=-220.00,dec=-126.58;rep_trend_strength_adx:monday=-263.83,dec=-135.39;headline survived but named weak slices remain;selected_candidate=none",at_least_two_candidates_keep_trade_count>=260;PF>=1.35;DD<=18;Monday_loss_above_-180;December_loss_above_-120;no_single_feature_dependency,same_Monday_or_December_hole_remains_or_trade_count_collapses_or_one_candidate_only_survives_by_threshold_tweak,if_state_feature_engineering_still_fails_named_weak_slices_close_branch_and_pivot_to_new_model_family_or_period_design,materialization_only_no_candidate_selection_no_onnx
run267AO_s262_lih_trend_strength_disagreement,run267AO_q01_pool_wide_noncalendar_state_feature_engineering_matrix,P0,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,rep_trend_strength_adx,run267W_13_s262_lih_rep_trend_strength_adx,trend_strength(추세 강도),adx_14;di_spread_14;vortex_indicator;ema20_ema50_diff,raw;abs;abs_center_1;abs,dispersion_plus_pressure,check_if_trend_strength_meaning_survives_ADX_similar_axis_replacement,ready_for_score_table_materialization,"run267AM repair gate failed;rep_volatility_atr:monday=-220.00,dec=-126.58;rep_trend_strength_adx:monday=-263.83,dec=-135.39;headline survived but named weak slices remain;selected_candidate=none",at_least_two_candidates_keep_trade_count>=260;PF>=1.35;DD<=18;Monday_loss_above_-180;December_loss_above_-120;no_single_feature_dependency,same_Monday_or_December_hole_remains_or_trade_count_collapses_or_one_candidate_only_survives_by_threshold_tweak,if_state_feature_engineering_still_fails_named_weak_slices_close_branch_and_pivot_to_new_model_family_or_period_design,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_aia_return_shock_absorption,run267AO_q01_pool_wide_noncalendar_state_feature_engineering_matrix,P0,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,return_shock_absorption,stage267_state_return_shock_absorption_score,rep_volatility_atr,run267W_19_s264_aia_rep_volatility_atr,volatility_risk(변동성 위험),return_zscore_20;return_1_over_atr_14;log_return_3;close_prev_close_ratio,abs;abs;abs;abs_center_1,mean_high_pressure,check_if_candidates_survive_return_shock_state_without_literal_calendar_filter,ready_for_score_table_materialization,"run267AM repair gate failed;rep_volatility_atr:monday=-220.00,dec=-126.58;rep_trend_strength_adx:monday=-263.83,dec=-135.39;headline survived but named weak slices remain;selected_candidate=none",at_least_two_candidates_keep_trade_count>=260;PF>=1.35;DD<=18;Monday_loss_above_-180;December_loss_above_-120;no_single_feature_dependency,same_Monday_or_December_hole_remains_or_trade_count_collapses_or_one_candidate_only_survives_by_threshold_tweak,if_state_feature_engineering_still_fails_named_weak_slices_close_branch_and_pivot_to_new_model_family_or_period_design,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_aia_volatility_regime_expansion,run267AO_q01_pool_wide_noncalendar_state_feature_engineering_matrix,P0,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,rep_volatility_atr,run267W_19_s264_aia_rep_volatility_atr,volatility_risk(변동성 위험),atr_14_over_atr_50;historical_vol_5_over_20;historical_vol_20;bollinger_width_20,raw;raw;raw;raw,mean_high_pressure,check_if_volatility_regime_width_reduces_repeated_month_weekday_holes_without_threshold_tweak,ready_for_score_table_materialization,"run267AM repair gate failed;rep_volatility_atr:monday=-220.00,dec=-126.58;rep_trend_strength_adx:monday=-263.83,dec=-135.39;headline survived but named weak slices remain;selected_candidate=none",at_least_two_candidates_keep_trade_count>=260;PF>=1.35;DD<=18;Monday_loss_above_-180;December_loss_above_-120;no_single_feature_dependency,same_Monday_or_December_hole_remains_or_trade_count_collapses_or_one_candidate_only_survives_by_threshold_tweak,if_state_feature_engineering_still_fails_named_weak_slices_close_branch_and_pivot_to_new_model_family_or_period_design,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_aia_range_expansion_pressure,run267AO_q01_pool_wide_noncalendar_state_feature_engineering_matrix,P0,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,range_expansion_pressure,stage267_state_range_expansion_pressure_score,rep_volatility_atr,run267W_19_s264_aia_rep_volatility_atr,volatility_risk(변동성 위험),hl_range;close_open_ratio;gap_percent;bb_position_20,raw;abs_center_1;abs;abs_center_0_5,mean_high_pressure,check_if_range_expansion_state_is_more_structural_than_single_ATR_or_ADX_repair,ready_for_score_table_materialization,"run267AM repair gate failed;rep_volatility_atr:monday=-220.00,dec=-126.58;rep_trend_strength_adx:monday=-263.83,dec=-135.39;headline survived but named weak slices remain;selected_candidate=none",at_least_two_candidates_keep_trade_count>=260;PF>=1.35;DD<=18;Monday_loss_above_-180;December_loss_above_-120;no_single_feature_dependency,same_Monday_or_December_hole_remains_or_trade_count_collapses_or_one_candidate_only_survives_by_threshold_tweak,if_state_feature_engineering_still_fails_named_weak_slices_close_branch_and_pivot_to_new_model_family_or_period_design,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_aia_trend_strength_disagreement,run267AO_q01_pool_wide_noncalendar_state_feature_engineering_matrix,P0,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,rep_trend_strength_adx,run267W_18_s264_aia_rep_trend_strength_adx,trend_strength(추세 강도),adx_14;di_spread_14;vortex_indicator;ema20_ema50_diff,raw;abs;abs_center_1;abs,dispersion_plus_pressure,check_if_trend_strength_meaning_survives_ADX_similar_axis_replacement,ready_for_score_table_materialization,"run267AM repair gate failed;rep_volatility_atr:monday=-220.00,dec=-126.58;rep_trend_strength_adx:monday=-263.83,dec=-135.39;headline survived but named weak slices remain;selected_candidate=none",at_least_two_candidates_keep_trade_count>=260;PF>=1.35;DD<=18;Monday_loss_above_-180;December_loss_above_-120;no_single_feature_dependency,same_Monday_or_December_hole_remains_or_trade_count_collapses_or_one_candidate_only_survives_by_threshold_tweak,if_state_feature_engineering_still_fails_named_weak_slices_close_branch_and_pivot_to_new_model_family_or_period_design,materialization_only_no_candidate_selection_no_onnx
run267AO_s258_stc_return_shock_absorption,run267AO_q01_pool_wide_noncalendar_state_feature_engineering_matrix,P0,s258_short_tight_control,s258_stc,stress_challenger,return_shock_absorption,stage267_state_return_shock_absorption_score,abl_price_return_range,run267W_20_s258_stc_abl_price_return_range,price_return_range,return_zscore_20;return_1_over_atr_14;log_return_3;close_prev_close_ratio,abs;abs;abs;abs_center_1,mean_high_pressure,check_if_candidates_survive_return_shock_state_without_literal_calendar_filter,ready_for_score_table_materialization,"run267AM repair gate failed;rep_volatility_atr:monday=-220.00,dec=-126.58;rep_trend_strength_adx:monday=-263.83,dec=-135.39;headline survived but named weak slices remain;selected_candidate=none",at_least_two_candidates_keep_trade_count>=260;PF>=1.35;DD<=18;Monday_loss_above_-180;December_loss_above_-120;no_single_feature_dependency,same_Monday_or_December_hole_remains_or_trade_count_collapses_or_one_candidate_only_survives_by_threshold_tweak,if_state_feature_engineering_still_fails_named_weak_slices_close_branch_and_pivot_to_new_model_family_or_period_design,materialization_only_no_candidate_selection_no_onnx
run267AO_s258_stc_volatility_regime_expansion,run267AO_q01_pool_wide_noncalendar_state_feature_engineering_matrix,P0,s258_short_tight_control,s258_stc,stress_challenger,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,abl_volatility_bandwidth,run267W_21_s258_stc_abl_volatility_bandwidth,volatility_bandwidth,atr_14_over_atr_50;historical_vol_5_over_20;historical_vol_20;bollinger_width_20,raw;raw;raw;raw,mean_high_pressure,check_if_volatility_regime_width_reduces_repeated_month_weekday_holes_without_threshold_tweak,ready_for_score_table_materialization,"run267AM repair gate failed;rep_volatility_atr:monday=-220.00,dec=-126.58;rep_trend_strength_adx:monday=-263.83,dec=-135.39;headline survived but named weak slices remain;selected_candidate=none",at_least_two_candidates_keep_trade_count>=260;PF>=1.35;DD<=18;Monday_loss_above_-180;December_loss_above_-120;no_single_feature_dependency,same_Monday_or_December_hole_remains_or_trade_count_collapses_or_one_candidate_only_survives_by_threshold_tweak,if_state_feature_engineering_still_fails_named_weak_slices_close_branch_and_pivot_to_new_model_family_or_period_design,materialization_only_no_candidate_selection_no_onnx
run267AO_s258_stc_range_expansion_pressure,run267AO_q01_pool_wide_noncalendar_state_feature_engineering_matrix,P0,s258_short_tight_control,s258_stc,stress_challenger,range_expansion_pressure,stage267_state_range_expansion_pressure_score,abl_price_return_range,run267W_20_s258_stc_abl_price_return_range,price_return_range,hl_range;close_open_ratio;gap_percent;bb_position_20,raw;abs_center_1;abs;abs_center_0_5,mean_high_pressure,check_if_range_expansion_state_is_more_structural_than_single_ATR_or_ADX_repair,ready_for_score_table_materialization,"run267AM repair gate failed;rep_volatility_atr:monday=-220.00,dec=-126.58;rep_trend_strength_adx:monday=-263.83,dec=-135.39;headline survived but named weak slices remain;selected_candidate=none",at_least_two_candidates_keep_trade_count>=260;PF>=1.35;DD<=18;Monday_loss_above_-180;December_loss_above_-120;no_single_feature_dependency,same_Monday_or_December_hole_remains_or_trade_count_collapses_or_one_candidate_only_survives_by_threshold_tweak,if_state_feature_engineering_still_fails_named_weak_slices_close_branch_and_pivot_to_new_model_family_or_period_design,materialization_only_no_candidate_selection_no_onnx
run267AO_s258_stc_trend_strength_disagreement,run267AO_q01_pool_wide_noncalendar_state_feature_engineering_matrix,P0,s258_short_tight_control,s258_stc,stress_challenger,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,rep_trend_strength_adx,run267W_24_s258_stc_rep_trend_strength_adx,trend_strength(추세 강도),adx_14;di_spread_14;vortex_indicator;ema20_ema50_diff,raw;abs;abs_center_1;abs,dispersion_plus_pressure,check_if_trend_strength_meaning_survives_ADX_similar_axis_replacement,ready_for_score_table_materialization,"run267AM repair gate failed;rep_volatility_atr:monday=-220.00,dec=-126.58;rep_trend_strength_adx:monday=-263.83,dec=-135.39;headline survived but named weak slices remain;selected_candidate=none",at_least_two_candidates_keep_trade_count>=260;PF>=1.35;DD<=18;Monday_loss_above_-180;December_loss_above_-120;no_single_feature_dependency,same_Monday_or_December_hole_remains_or_trade_count_collapses_or_one_candidate_only_survives_by_threshold_tweak,if_state_feature_engineering_still_fails_named_weak_slices_close_branch_and_pivot_to_new_model_family_or_period_design,materialization_only_no_candidate_selection_no_onnx
