source_path,exists,sha256,row_count_or_keys,scaffold_use,forbidden_use,lineage_status,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/proxy_mt5_fresh_probe_package_spec.csv,true,c333017ed6982f69e4eeb09dfe7e473bd598b8f5c4d38e9251dc8b217731f813,5,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/core56_asof_repair_package_spec.csv,true,81649200a07ade73399b897bc49221c283148593598bce7732fa33e1531b1f20,5,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/cost_direction_curve_extraction_package_spec.csv,true,0e68b1e49d09c489c8f5fca5358ac932c29945f82b1388607bc149aba4711df6,5,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/offense_branch_thesis_package_spec.csv,true,41cb3d73de05662e3e9287fc361658d7cf534939c041ea57cc3da66aecf85a0d,4,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/economic_regime_asof_join_package_spec.csv,true,463812fb8f0cc407c75095301901cd0fa17be6dca519414d601f7c6f0eb63b1c,6,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/runtime_probe_package_spec.csv,true,921e66ec26a145143450284b224ac0d4b7ad744ebe9dea8b3a6d6367551fb948,5,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/claim_guard_blocker_package_spec.csv,true,f2cb03aee88810074815a02a63749aaf4cb96c9ee79e4a1726d60a4b26e54967,11,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/no_lookahead_package_review.csv,true,113a4b4628fa0888e56605dc42a1e1de269b430fa0493d01ef5cd14265799c3a,1,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/proxy_mt5_package_review.csv,true,92d2090d0a60ad88bf03c3307765f3f98bbd2cd4ddfe588aa7c82466eed3784f,1,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/core56_package_review.csv,true,a0ee8029c673b81d396858f352aea1317aedf790fc66c191a8a4d40935f96fe6,1,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/cost_direction_curve_package_review.csv,true,fbf188620d21f4864950fdb64c624be97c49e19de74929cfe31cb74fef3acc00,1,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/offense_package_review.csv,true,0f9a46e869def142cefe3537c552d6122057e910b5e21d5a72a323f554827f7b,1,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/economic_regime_package_review.csv,true,e19cf3dd05a924c32da91659f431b04da4a114a51acf45ac22c0b6be9e849574,1,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/runtime_package_review.csv,true,3383b13d939c5dda6e47bbcd9f2cebb4241d850ad0b301730c9d0b253e21d4c3,1,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/claim_guard_package_review.csv,true,2c61d7cf3acef98b0b3199f2d0cde5b097bdeb98a8656ccad76c6e94e8a4ddc2,1,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/package_index_review.csv,true,1cc18b40b0997df8c64594b3f18326317431df2020bb456f5462ea2e22e9bbd2,1,run337J runner scaffold materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
