preflight_id,package_family,check_order,requirement,evidence_artifact,current_status,execution_block_if_missing,execution_ready,next_review_required,claim_boundary
proxy_mt5_05_blocked_command_written,proxy_mt5,5,execution command is blocked until run337K review and later execution packet,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_06_claim_boundary_receipt_bound,proxy_mt5,6,claim boundary receipt forbids Forward/runtime/Goal claims,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
core56_01_source_artifact_exists,core56,1,"source package, review artifact, and contract identity are present",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/core56_asof_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
core56_02_execution_flags_closed,core56,2,"execution, training, MT5, selection, Forward decision, and runtime authority flags remain false",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/core56_asof_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
core56_03_identity_fields_declared,core56,3,feature/model/threshold/risk/lot/timestamp/source identities are declared where the family needs them,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/core56_asof_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
core56_04_output_schema_declared,core56,4,future outputs are named before any later runner can execute,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/core56_asof_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
core56_05_blocked_command_written,core56,5,execution command is blocked until run337K review and later execution packet,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/core56_asof_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
core56_06_claim_boundary_receipt_bound,core56,6,claim boundary receipt forbids Forward/runtime/Goal claims,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/core56_asof_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_01_source_artifact_exists,cost_curve,1,"source package, review artifact, and contract identity are present",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/cost_direction_curve_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_02_execution_flags_closed,cost_curve,2,"execution, training, MT5, selection, Forward decision, and runtime authority flags remain false",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/cost_direction_curve_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_03_identity_fields_declared,cost_curve,3,feature/model/threshold/risk/lot/timestamp/source identities are declared where the family needs them,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/cost_direction_curve_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_04_output_schema_declared,cost_curve,4,future outputs are named before any later runner can execute,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/cost_direction_curve_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_05_blocked_command_written,cost_curve,5,execution command is blocked until run337K review and later execution packet,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/cost_direction_curve_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_06_claim_boundary_receipt_bound,cost_curve,6,claim boundary receipt forbids Forward/runtime/Goal claims,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/cost_direction_curve_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_01_source_artifact_exists,offense,1,"source package, review artifact, and contract identity are present",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/offense_branch_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_02_execution_flags_closed,offense,2,"execution, training, MT5, selection, Forward decision, and runtime authority flags remain false",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/offense_branch_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_03_identity_fields_declared,offense,3,feature/model/threshold/risk/lot/timestamp/source identities are declared where the family needs them,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/offense_branch_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_04_output_schema_declared,offense,4,future outputs are named before any later runner can execute,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/offense_branch_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_05_blocked_command_written,offense,5,execution command is blocked until run337K review and later execution packet,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/offense_branch_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_06_claim_boundary_receipt_bound,offense,6,claim boundary receipt forbids Forward/runtime/Goal claims,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/offense_branch_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_01_source_artifact_exists,regime,1,"source package, review artifact, and contract identity are present",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/economic_regime_asof_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_02_execution_flags_closed,regime,2,"execution, training, MT5, selection, Forward decision, and runtime authority flags remain false",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/economic_regime_asof_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_03_identity_fields_declared,regime,3,feature/model/threshold/risk/lot/timestamp/source identities are declared where the family needs them,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/economic_regime_asof_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_04_output_schema_declared,regime,4,future outputs are named before any later runner can execute,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/economic_regime_asof_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_05_blocked_command_written,regime,5,execution command is blocked until run337K review and later execution packet,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/economic_regime_asof_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_06_claim_boundary_receipt_bound,regime,6,claim boundary receipt forbids Forward/runtime/Goal claims,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/economic_regime_asof_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_01_source_artifact_exists,runtime,1,"source package, review artifact, and contract identity are present",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runtime_probe_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_02_execution_flags_closed,runtime,2,"execution, training, MT5, selection, Forward decision, and runtime authority flags remain false",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runtime_probe_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_03_identity_fields_declared,runtime,3,feature/model/threshold/risk/lot/timestamp/source identities are declared where the family needs them,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runtime_probe_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_04_output_schema_declared,runtime,4,future outputs are named before any later runner can execute,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runtime_probe_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_05_blocked_command_written,runtime,5,execution command is blocked until run337K review and later execution packet,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runtime_probe_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_06_claim_boundary_receipt_bound,runtime,6,claim boundary receipt forbids Forward/runtime/Goal claims,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runtime_probe_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
claim_boundary_01_source_artifact_exists,claim_boundary,1,"source package, review artifact, and contract identity are present",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/claim_guard_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
claim_boundary_02_execution_flags_closed,claim_boundary,2,"execution, training, MT5, selection, Forward decision, and runtime authority flags remain false",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/claim_guard_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
claim_boundary_03_identity_fields_declared,claim_boundary,3,feature/model/threshold/risk/lot/timestamp/source identities are declared where the family needs them,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/claim_guard_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
claim_boundary_04_output_schema_declared,claim_boundary,4,future outputs are named before any later runner can execute,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/claim_guard_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
claim_boundary_05_blocked_command_written,claim_boundary,5,execution command is blocked until run337K review and later execution packet,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/claim_guard_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
claim_boundary_06_claim_boundary_receipt_bound,claim_boundary,6,claim boundary receipt forbids Forward/runtime/Goal claims,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/claim_guard_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
package_index_01_source_artifact_exists,package_index,1,"source package, review artifact, and contract identity are present",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/package_index_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
package_index_02_execution_flags_closed,package_index,2,"execution, training, MT5, selection, Forward decision, and runtime authority flags remain false",stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/package_index_runner_scaffold.csv,declared_pending_run337K_review,true,false,run337K_review_runner_scaffolds_v1,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
