variant_id,variant_token,package_id,tier_scope,validation_net_profit,oos_net_profit,validation_profit_factor,oos_profit_factor,validation_trade_count,oos_trade_count,validation_equity_dd_percent,oos_equity_dd_percent,fragility_flags,survival_read,next_use
run276A_cp275B_q03_q04_distance_focus,q03_q04_distance_focus,cp275B_cross_asset_divergence_reversal_surface,Tier B,112.76,-399.07,1.03309,0.842874,1060,642,39.86,95.16,closed_balance_dd_watch;deep_slice_hole;month_hole;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
run276A_cp275B_q04_risk_q70_focus,q04_risk_q70_focus,cp275B_cross_asset_divergence_reversal_surface,Tier A,-99.08,-299.82,0.974968,0.90014,1286,939,71.61,76.92,closed_balance_dd_watch;deep_slice_hole;month_hole;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
run276A_cp275B_q04_risk_q70_focus,q04_risk_q70_focus,cp275B_cross_asset_divergence_reversal_surface,Tier B,198.99,-140.54,1.0617,0.934323,950,539,27.23,49.43,closed_balance_dd_watch;deep_slice_hole;month_hole;no_major_flag_in_this_split;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
run276A_cp275D_q01_base_surface,q01_base_surface,cp275D_macro_volatility_squeeze_release_surface,Tier A,-17.74,-265.52,0.995197,0.917668,1291,1003,51.63,81.11,closed_balance_dd_watch;deep_slice_hole;month_hole;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
run276A_cp275D_q01_base_surface,q01_base_surface,cp275D_macro_volatility_squeeze_release_surface,Tier B,-17.74,-265.52,0.995197,0.917668,1291,1003,51.63,81.11,closed_balance_dd_watch;deep_slice_hole;month_hole;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
run276A_cp275D_q02_score_q70_focus,q02_score_q70_focus,cp275D_macro_volatility_squeeze_release_surface,Tier A,11.34,65.5,1.00323,1.02354,1191,904,45.73,52.34,closed_balance_dd_watch;deep_slice_hole;month_hole;pf_too_thin;report_dd_too_high,pf_too_thin_not_survivor,watch_only
run276A_cp275D_q02_score_q70_focus,q02_score_q70_focus,cp275D_macro_volatility_squeeze_release_surface,Tier B,11.34,65.5,1.00323,1.02354,1191,904,45.73,52.34,closed_balance_dd_watch;deep_slice_hole;month_hole;pf_too_thin;report_dd_too_high,pf_too_thin_not_survivor,watch_only
run276A_cp275D_q03_q04_distance_focus,q03_q04_distance_focus,cp275D_macro_volatility_squeeze_release_surface,Tier A,-83.39,-432.48,0.973188,0.845166,1030,770,66.63,93.2,closed_balance_dd_watch;deep_slice_hole;month_hole;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
run276A_cp275D_q03_q04_distance_focus,q03_q04_distance_focus,cp275D_macro_volatility_squeeze_release_surface,Tier B,-83.39,-432.48,0.973188,0.845166,1030,770,66.63,93.2,closed_balance_dd_watch;deep_slice_hole;month_hole;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
run276A_cp275D_q04_risk_q70_focus,q04_risk_q70_focus,cp275D_macro_volatility_squeeze_release_surface,Tier A,-41.33,-194.92,0.986898,0.921698,1040,763,58.63,70.68,closed_balance_dd_watch;deep_slice_hole;month_hole;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
run276A_cp275D_q04_risk_q70_focus,q04_risk_q70_focus,cp275D_macro_volatility_squeeze_release_surface,Tier B,-41.33,-194.92,0.986898,0.921698,1040,763,58.63,70.68,closed_balance_dd_watch;deep_slice_hole;month_hole;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
