queue_order,queue_id,candidate_id,candidate_alias,candidate_role,variant_id,experiment_class,hypothesis,decision_use,comparison_baseline,control_variables,changed_variables,sample_scope,broad_sweep,extreme_sweep,success_criteria,failure_criteria,invalid_conditions,stop_conditions,evidence_plan,claim_boundary
11,run267BH_11_s262_lih_state_acceleration_interaction,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,state_acceleration_interaction,aggressive_pressure_not_filter_stack,Explosive moves may be captured by interaction features rather than single ADX/ATR replacement.,"decide whether this candidate deserves materialization as an aggressive branch, not selection",Stage267 baseline candidate pool plus run267N/run267O/run267AP/run267AQ/run267AX/run267AY evidence,"symbol=US100; timeframe=M5; broker=FPMarkets; reporting includes 2024, adjacent OOS, curve, time-slice, trade quality",new volatility shock x trend acceleration and return impulse interaction features,Tier A first; Tier B and actual routed total remain blocked until true fallback route manifest exists,force validation-heavy logic into broader OOS pressure without stacking filters,"raw interaction, clipped interaction, and rank-bucket interaction surfaces",similar market meaning survives feature replacement and does not depend on one indicator column,performance disappears when the interaction is clipped or replaced with a similar state axis,"tester start missing, report missing, runtime CSV missing, feature order drift, stale report/profile handoff",stop after one materialization plus one review if the branch only repeats defensive filtering or breaks all weak slices,"materialize feature/model/set/ini, run MT5 Strategy Tester, parse report/trades, inspect curve/time-slice/trade quality, record failures",research_queue_only_no_candidate_selection_no_onnx
12,run267BH_12_s262_lih_anti_overconstraint_prune,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,anti_overconstraint_prune,aggressive_pressure_not_filter_stack,Recent branches may be overconstrained by defensive repair habits; pruning filters can expose a better candidate family.,"decide whether this candidate deserves materialization as an aggressive branch, not selection",Stage267 baseline candidate pool plus run267N/run267O/run267AP/run267AQ/run267AX/run267AY evidence,"symbol=US100; timeframe=M5; broker=FPMarkets; reporting includes 2024, adjacent OOS, curve, time-slice, trade quality",remove one defensive guard family at a time and keep risk/reporting fixed,Tier A first; Tier B and actual routed total remain blocked until true fallback route manifest exists,force validation-heavy logic into broader OOS pressure without stacking filters,"no calendar guard, no weak-slice micro repair, and single-state guard only",curve becomes simpler or trade quality improves without relying on a narrow day/session filter,all gains came from the removed guard blocking bad trades and the unfiltered candidate breaks broadly,"tester start missing, report missing, runtime CSV missing, feature order drift, stale report/profile handoff",stop after one materialization plus one review if the branch only repeats defensive filtering or breaks all weak slices,"materialize feature/model/set/ini, run MT5 Strategy Tester, parse report/trades, inspect curve/time-slice/trade quality, record failures",research_queue_only_no_candidate_selection_no_onnx
13,run267BH_13_s264_aia_explode_opportunity_recall,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,explode_opportunity_recall,aggressive_pressure_not_filter_stack,A wider permission surface can reveal a stronger raw edge before defensive filters hide it.,"decide whether this candidate deserves materialization as an aggressive branch, not selection",Stage267 baseline candidate pool plus run267N/run267O/run267AP/run267AQ/run267AX/run267AY evidence,"symbol=US100; timeframe=M5; broker=FPMarkets; reporting includes 2024, adjacent OOS, curve, time-slice, trade quality","loosen entry permission, reduce micro-filter stacking, keep calendar guards off unless required for invalidity",Tier A first; Tier B and actual routed total remain blocked until true fallback route manifest exists,turn OOS recovery into a higher-conviction expansion branch while exposing validation damage,decision permission widened by coarse bands; trade-count target pushed upward before any fine threshold search,"trade count expands materially while PF, drawdown, and curve holes remain reviewable across 2024 and adjacent OOS periods","trade count rises but PF collapses, drawdown expands sharply, or one month/session carries the whole result","tester start missing, report missing, runtime CSV missing, feature order drift, stale report/profile handoff",stop after one materialization plus one review if the branch only repeats defensive filtering or breaks all weak slices,"materialize feature/model/set/ini, run MT5 Strategy Tester, parse report/trades, inspect curve/time-slice/trade quality, record failures",research_queue_only_no_candidate_selection_no_onnx
14,run267BH_14_s264_aia_payoff_convexity_push,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,payoff_convexity_push,aggressive_pressure_not_filter_stack,Some candidates may need asymmetric payoff expansion rather than more entry filtering.,"decide whether this candidate deserves materialization as an aggressive branch, not selection",Stage267 baseline candidate pool plus run267N/run267O/run267AP/run267AQ/run267AX/run267AY evidence,"symbol=US100; timeframe=M5; broker=FPMarkets; reporting includes 2024, adjacent OOS, curve, time-slice, trade quality","ATR risk/reward shape, TP/SL stretch, hold window pressure, no extra feature filter",Tier A first; Tier B and actual routed total remain blocked until true fallback route manifest exists,turn OOS recovery into a higher-conviction expansion branch while exposing validation damage,coarse TP stretch and SL compression/expansion corners to expose convexity cliffs,expectancy and recovery improve without hiding a deep equity valley in weak months,net profit improves only through a few outsized trades or DD becomes uncomfortable,"tester start missing, report missing, runtime CSV missing, feature order drift, stale report/profile handoff",stop after one materialization plus one review if the branch only repeats defensive filtering or breaks all weak slices,"materialize feature/model/set/ini, run MT5 Strategy Tester, parse report/trades, inspect curve/time-slice/trade quality, record failures",research_queue_only_no_candidate_selection_no_onnx
15,run267BH_15_s264_aia_state_acceleration_interaction,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,state_acceleration_interaction,aggressive_pressure_not_filter_stack,Explosive moves may be captured by interaction features rather than single ADX/ATR replacement.,"decide whether this candidate deserves materialization as an aggressive branch, not selection",Stage267 baseline candidate pool plus run267N/run267O/run267AP/run267AQ/run267AX/run267AY evidence,"symbol=US100; timeframe=M5; broker=FPMarkets; reporting includes 2024, adjacent OOS, curve, time-slice, trade quality",new volatility shock x trend acceleration and return impulse interaction features,Tier A first; Tier B and actual routed total remain blocked until true fallback route manifest exists,turn OOS recovery into a higher-conviction expansion branch while exposing validation damage,"raw interaction, clipped interaction, and rank-bucket interaction surfaces",similar market meaning survives feature replacement and does not depend on one indicator column,performance disappears when the interaction is clipped or replaced with a similar state axis,"tester start missing, report missing, runtime CSV missing, feature order drift, stale report/profile handoff",stop after one materialization plus one review if the branch only repeats defensive filtering or breaks all weak slices,"materialize feature/model/set/ini, run MT5 Strategy Tester, parse report/trades, inspect curve/time-slice/trade quality, record failures",research_queue_only_no_candidate_selection_no_onnx
16,run267BH_16_s264_aia_anti_overconstraint_prune,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,anti_overconstraint_prune,aggressive_pressure_not_filter_stack,Recent branches may be overconstrained by defensive repair habits; pruning filters can expose a better candidate family.,"decide whether this candidate deserves materialization as an aggressive branch, not selection",Stage267 baseline candidate pool plus run267N/run267O/run267AP/run267AQ/run267AX/run267AY evidence,"symbol=US100; timeframe=M5; broker=FPMarkets; reporting includes 2024, adjacent OOS, curve, time-slice, trade quality",remove one defensive guard family at a time and keep risk/reporting fixed,Tier A first; Tier B and actual routed total remain blocked until true fallback route manifest exists,turn OOS recovery into a higher-conviction expansion branch while exposing validation damage,"no calendar guard, no weak-slice micro repair, and single-state guard only",curve becomes simpler or trade quality improves without relying on a narrow day/session filter,all gains came from the removed guard blocking bad trades and the unfiltered candidate breaks broadly,"tester start missing, report missing, runtime CSV missing, feature order drift, stale report/profile handoff",stop after one materialization plus one review if the branch only repeats defensive filtering or breaks all weak slices,"materialize feature/model/set/ini, run MT5 Strategy Tester, parse report/trades, inspect curve/time-slice/trade quality, record failures",research_queue_only_no_candidate_selection_no_onnx
17,run267BH_17_s258_stc_explode_opportunity_recall,s258_short_tight_control,s258_stc,stress_challenger,explode_opportunity_recall,aggressive_pressure_not_filter_stack,A wider permission surface can reveal a stronger raw edge before defensive filters hide it.,"decide whether this candidate deserves materialization as an aggressive branch, not selection",Stage267 baseline candidate pool plus run267N/run267O/run267AP/run267AQ/run267AX/run267AY evidence,"symbol=US100; timeframe=M5; broker=FPMarkets; reporting includes 2024, adjacent OOS, curve, time-slice, trade quality","loosen entry permission, reduce micro-filter stacking, keep calendar guards off unless required for invalidity",Tier A first; Tier B and actual routed total remain blocked until true fallback route manifest exists,test whether strong OOS numbers survive larger payoff/risk pressure instead of defensive trimming,decision permission widened by coarse bands; trade-count target pushed upward before any fine threshold search,"trade count expands materially while PF, drawdown, and curve holes remain reviewable across 2024 and adjacent OOS periods","trade count rises but PF collapses, drawdown expands sharply, or one month/session carries the whole result","tester start missing, report missing, runtime CSV missing, feature order drift, stale report/profile handoff",stop after one materialization plus one review if the branch only repeats defensive filtering or breaks all weak slices,"materialize feature/model/set/ini, run MT5 Strategy Tester, parse report/trades, inspect curve/time-slice/trade quality, record failures",research_queue_only_no_candidate_selection_no_onnx
18,run267BH_18_s258_stc_payoff_convexity_push,s258_short_tight_control,s258_stc,stress_challenger,payoff_convexity_push,aggressive_pressure_not_filter_stack,Some candidates may need asymmetric payoff expansion rather than more entry filtering.,"decide whether this candidate deserves materialization as an aggressive branch, not selection",Stage267 baseline candidate pool plus run267N/run267O/run267AP/run267AQ/run267AX/run267AY evidence,"symbol=US100; timeframe=M5; broker=FPMarkets; reporting includes 2024, adjacent OOS, curve, time-slice, trade quality","ATR risk/reward shape, TP/SL stretch, hold window pressure, no extra feature filter",Tier A first; Tier B and actual routed total remain blocked until true fallback route manifest exists,test whether strong OOS numbers survive larger payoff/risk pressure instead of defensive trimming,coarse TP stretch and SL compression/expansion corners to expose convexity cliffs,expectancy and recovery improve without hiding a deep equity valley in weak months,net profit improves only through a few outsized trades or DD becomes uncomfortable,"tester start missing, report missing, runtime CSV missing, feature order drift, stale report/profile handoff",stop after one materialization plus one review if the branch only repeats defensive filtering or breaks all weak slices,"materialize feature/model/set/ini, run MT5 Strategy Tester, parse report/trades, inspect curve/time-slice/trade quality, record failures",research_queue_only_no_candidate_selection_no_onnx
19,run267BH_19_s258_stc_state_acceleration_interaction,s258_short_tight_control,s258_stc,stress_challenger,state_acceleration_interaction,aggressive_pressure_not_filter_stack,Explosive moves may be captured by interaction features rather than single ADX/ATR replacement.,"decide whether this candidate deserves materialization as an aggressive branch, not selection",Stage267 baseline candidate pool plus run267N/run267O/run267AP/run267AQ/run267AX/run267AY evidence,"symbol=US100; timeframe=M5; broker=FPMarkets; reporting includes 2024, adjacent OOS, curve, time-slice, trade quality",new volatility shock x trend acceleration and return impulse interaction features,Tier A first; Tier B and actual routed total remain blocked until true fallback route manifest exists,test whether strong OOS numbers survive larger payoff/risk pressure instead of defensive trimming,"raw interaction, clipped interaction, and rank-bucket interaction surfaces",similar market meaning survives feature replacement and does not depend on one indicator column,performance disappears when the interaction is clipped or replaced with a similar state axis,"tester start missing, report missing, runtime CSV missing, feature order drift, stale report/profile handoff",stop after one materialization plus one review if the branch only repeats defensive filtering or breaks all weak slices,"materialize feature/model/set/ini, run MT5 Strategy Tester, parse report/trades, inspect curve/time-slice/trade quality, record failures",research_queue_only_no_candidate_selection_no_onnx
20,run267BH_20_s258_stc_anti_overconstraint_prune,s258_short_tight_control,s258_stc,stress_challenger,anti_overconstraint_prune,aggressive_pressure_not_filter_stack,Recent branches may be overconstrained by defensive repair habits; pruning filters can expose a better candidate family.,"decide whether this candidate deserves materialization as an aggressive branch, not selection",Stage267 baseline candidate pool plus run267N/run267O/run267AP/run267AQ/run267AX/run267AY evidence,"symbol=US100; timeframe=M5; broker=FPMarkets; reporting includes 2024, adjacent OOS, curve, time-slice, trade quality",remove one defensive guard family at a time and keep risk/reporting fixed,Tier A first; Tier B and actual routed total remain blocked until true fallback route manifest exists,test whether strong OOS numbers survive larger payoff/risk pressure instead of defensive trimming,"no calendar guard, no weak-slice micro repair, and single-state guard only",curve becomes simpler or trade quality improves without relying on a narrow day/session filter,all gains came from the removed guard blocking bad trades and the unfiltered candidate breaks broadly,"tester start missing, report missing, runtime CSV missing, feature order drift, stale report/profile handoff",stop after one materialization plus one review if the branch only repeats defensive filtering or breaks all weak slices,"materialize feature/model/set/ini, run MT5 Strategy Tester, parse report/trades, inspect curve/time-slice/trade quality, record failures",research_queue_only_no_candidate_selection_no_onnx
