stage_num,stage_id,classification,preflight_status,reason,candidate_id,model_id,onnx_path,model_path,decision_mode,source_contract,closeout_blocker_token,onnx_exists,model_exists,model_n_features_in,feature_count
11,stage_frontier_11__subperiod_stability_first_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"no ONNX, joblib, or runtime handoff candidate recovered",,,,,,,,,,,
12,stage_frontier_12__trade_shape_duration_controlled_onnx_scout,candidate_found_pending_preflight,executable_candidate_after_preflight,all preflight checks passed,f12b_fast_shape_h6_e2_t0p72_cap0p42_ecap0p24_rec0p08__lr_plain,f12b_f12b_fast_shape_h6_e2_t0p72_cap0p42_ecap0p24_rec0p08__lr_plain,stages/stage_frontier_12__trade_shape_duration_controlled_onnx_scout/02_runs/frontier12B_trade_shape_duration_label_proxy_scout_v1/models/f12b_fast_shape_h6_e2_t0p72_cap0p42_ecap0p24_rec0p08/f12b_f12b_fast_shape_h6_e2_t0p72_cap0p42_ecap0p24_rec0p08__lr_plain.onnx,stages/stage_frontier_12__trade_shape_duration_controlled_onnx_scout/02_runs/frontier12B_trade_shape_duration_label_proxy_scout_v1/models/f12b_fast_shape_h6_e2_t0p72_cap0p42_ecap0p24_rec0p08/f12b_f12b_fast_shape_h6_e2_t0p72_cap0p42_ecap0p24_rec0p08__lr_plain.joblib,argmax,"argmax_only_no_threshold_search(최대확률 전용, 임계값 탐색 없음)",,True,True,58,58
13,stage_frontier_13__regime_normalized_trade_shape_onnx_scout,candidate_found_pending_preflight,executable_candidate_after_preflight,all preflight checks passed,f13b_vol_squeeze_h12_t1p00_cap0p62_ecap0p36_rec0p12__lr_plain,f13b_f13b_vol_squeeze_h12_t1p00_cap0p62_ecap0p36_rec0p12__lr_plain,stages/stage_frontier_13__regime_normalized_trade_shape_onnx_scout/02_runs/frontier13B_regime_normalized_trade_shape_proxy_scout_v1/models/f13b_vol_squeeze_h12_t1p00_cap0p62_ecap0p36_rec0p12/f13b_f13b_vol_squeeze_h12_t1p00_cap0p62_ecap0p36_rec0p12__lr_plain.onnx,stages/stage_frontier_13__regime_normalized_trade_shape_onnx_scout/02_runs/frontier13B_regime_normalized_trade_shape_proxy_scout_v1/models/f13b_vol_squeeze_h12_t1p00_cap0p62_ecap0p36_rec0p12/f13b_f13b_vol_squeeze_h12_t1p00_cap0p62_ecap0p36_rec0p12__lr_plain.joblib,argmax,"argmax_only_no_threshold_search(최대확률 전용, 임계값 탐색 없음)",,True,True,58,58
14,stage_frontier_14__daily_session_opportunity_budget_onnx_scout,candidate_found_pending_preflight,executable_candidate_after_preflight,all preflight checks passed,f14b_cash_q8_h8__flat8x_safest__lr_plain,f14c_f14b_cash_q8_h8__flat8x_safest__lr_plain,stages/stage_frontier_14__daily_session_opportunity_budget_onnx_scout/02_runs/frontier14C_contrastive_flat_budget_density_transfer_repair_v1/models/f14b_cash_q8_h8/flat8x_safest/f14c_f14b_cash_q8_h8__flat8x_safest__lr_plain.onnx,stages/stage_frontier_14__daily_session_opportunity_budget_onnx_scout/02_runs/frontier14C_contrastive_flat_budget_density_transfer_repair_v1/models/f14b_cash_q8_h8/flat8x_safest/f14c_f14b_cash_q8_h8__flat8x_safest__lr_plain.joblib,argmax,"argmax_only_no_threshold_search(최대확률 전용, 임계값 탐색 없음)",,True,True,58,58
15,stage_frontier_15__score_threshold_density_controlled_onnx_scout,missing_artifact_blocked,missing_artifact_blocked,ONNX exists but no unambiguous EA-compatible candidate contract was recovered,,,,,,,,,,,
16,stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout,completed_existing_verify_only,completed_existing_verify_only,existing MT5 runtime probe reports found,,,,,,,,,,,
17,stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout,completed_existing_verify_only,completed_existing_verify_only,existing MT5 runtime probe reports found,,,,,,,,,,,
18,stage_frontier_18__asymmetric_exit_lifecycle_profit_lock_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"no_runtime_handoff_candidate_under_pre_registered_profile_lock(전진 단서 0/0/0이고 사전 등록 프로필 고정 아래 런타임 인계 후보 없음)"", ""runtime_probe_observation"": ""not_run_exact_blocker_recorded_no_runtime_handoff_candidate(미실행, 런타임 인계 후보 없음이라는 ",,,,,,,"no_runtime_handoff_candidate_under_pre_registered_profile_lock(전진 단서 0/0/0이고 사전 등록 프로필 고정 아래 런타임 인계 후보 없음)"", ""runtime_probe_observation"": ""not_run_exact_blocker_recorded_no_runtime_handoff_candidate(미실행, 런타임 인계 후보 없음이라는 ",,,,
19,stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"no_runtime_handoff_candidate_from_frontier19b_proxy(전선19B 프록시에서 런타임 인계 후보 없음)""} {""created_at_utc"": ""2026-06-14T05:23:07Z"", ""stage_id"": ""stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout"", ""run_id"": ""frontier",,,,,,,"no_runtime_handoff_candidate_from_frontier19b_proxy(전선19B 프록시에서 런타임 인계 후보 없음)""} {""created_at_utc"": ""2026-06-14T05:23:07Z"", ""stage_id"": ""stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout"", ""run_id"": ""frontier",,,,
20,stage_frontier_20__train_only_feature_state_rule_atlas_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_handoff(주장 경계상 런타임 탐침 부적격, 인계 없음)""}, ""compatibility"": {""runtime_authority"": ""not_claimed(주장 없음)"", ""operating_promotion"": ""not_claimed(주장 없음)"", ""mismatch_policy"": ""fail_fast(즉시 실패)""}, ""claim_bo",,,,,,,"runtime_probe_ineligible_no_handoff(주장 경계상 런타임 탐침 부적격, 인계 없음)""}, ""compatibility"": {""runtime_authority"": ""not_claimed(주장 없음)"", ""operating_promotion"": ""not_claimed(주장 없음)"", ""mismatch_policy"": ""fail_fast(즉시 실패)""}, ""claim_bo",,,,
21,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_handoff_candidate_after_capped_repair(상한 수리 뒤 인계 후보가 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_seed_or_handoff_candidate(씨앗 또는 인계 후보가 없어 ONNX 분기 미개시)""}, ""report_refs"": [{""ro",,,,,,,"runtime_probe_ineligible_no_handoff_candidate_after_capped_repair(상한 수리 뒤 인계 후보가 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_seed_or_handoff_candidate(씨앗 또는 인계 후보가 없어 ONNX 분기 미개시)""}, ""report_refs"": [{""ro",,,,
22,stage_frontier_22__session_return_shock_pf_source_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_handoff_candidate_after_f22_capped_repair(전선22 상한 수리 뒤 인계 후보가 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_seed_or_handoff_candidate(씨앗 또는 인계 후보가 없어 ONNX 분기 미개시)""}, ""report_ref",,,,,,,"runtime_probe_ineligible_no_handoff_candidate_after_f22_capped_repair(전선22 상한 수리 뒤 인계 후보가 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_seed_or_handoff_candidate(씨앗 또는 인계 후보가 없어 ONNX 분기 미개시)""}, ""report_ref",,,,
23,stage_frontier_23__payoff_asymmetry_pf_source_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_handoff_candidate_after_f23_capped_repair(전선23 상한 수리 뒤 인계 후보가 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f23_capped_repair(전선23 상한 수리 뒤 인계 후보가 없어 ONNX",,,,,,,"runtime_probe_ineligible_no_handoff_candidate_after_f23_capped_repair(전선23 상한 수리 뒤 인계 후보가 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f23_capped_repair(전선23 상한 수리 뒤 인계 후보가 없어 ONNX",,,,
24,stage_frontier_24__density_bridge_payoff_pockets_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_handoff_candidate_after_f24_capped_repair(전선24 상한 수리 뒤 인계 후보가 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f24_capped_repair(전선24 상한 수리 뒤 인계 후보가 없어 ONNX",,,,,,,"runtime_probe_ineligible_no_handoff_candidate_after_f24_capped_repair(전선24 상한 수리 뒤 인계 후보가 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f24_capped_repair(전선24 상한 수리 뒤 인계 후보가 없어 ONNX",,,,
25,stage_frontier_25__bridge_archetype_preselection_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_handoff_candidate_after_f25c_repair_decision(F25C 수리 결정 뒤 인계 후보 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f25c_repair_decision(F25C 수리 결정 뒤 인계 후보 없어 ",,,,,,,"runtime_probe_ineligible_no_handoff_candidate_after_f25c_repair_decision(F25C 수리 결정 뒤 인계 후보 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f25c_repair_decision(F25C 수리 결정 뒤 인계 후보 없어 ",,,,
26,stage_frontier_26__joint_micro_satisfaction_before_bridge_union_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_handoff_candidate_after_f26c_invalid_setup_decision(F26C 무효 설정 결정 뒤 인계 후보 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f26c_invalid_setup_decision(F26C ",,,,,,,"runtime_probe_ineligible_no_handoff_candidate_after_f26c_invalid_setup_decision(F26C 무효 설정 결정 뒤 인계 후보 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f26c_invalid_setup_decision(F26C ",,,,
27,stage_frontier_27__soft_joint_satisfaction_penalty_bridge_union_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_handoff_candidate_after_f27c_repair_decision(F27C 수리 결정 뒤 인계 후보 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f27c_repair_decision(F27C 수리 결정 뒤 인계 후보 없어 ",,,,,,,"runtime_probe_ineligible_no_handoff_candidate_after_f27c_repair_decision(F27C 수리 결정 뒤 인계 후보 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f27c_repair_decision(F27C 수리 결정 뒤 인계 후보 없어 ",,,,
28,stage_frontier_28__train_only_stability_gap_penalty_for_pf_dd_balance_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_handoff_candidate_after_f28c_repair_decision(전선28C 수리 결정 뒤 인계 후보 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f28c_repair_decision(전선28C 수리 결정 뒤 인계 후보 없",,,,,,,"runtime_probe_ineligible_no_handoff_candidate_after_f28c_repair_decision(전선28C 수리 결정 뒤 인계 후보 없어 런타임 탐침 부적격)"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f28c_repair_decision(전선28C 수리 결정 뒤 인계 후보 없",,,,
29,stage_frontier_29__train_only_loss_concentration_veto_for_pf_dd_balance_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_handoff_candidate_after_f29c_repair_decision"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f29c_repair_decision""}, ""grok"": {""stage_open_packet"": ""docs/agent_control/gro",,,,,,,"runtime_probe_ineligible_no_handoff_candidate_after_f29c_repair_decision"", ""onnx_blocker"": ""onnx_branch_unattempted_no_handoff_candidate_after_f29c_repair_decision""}, ""grok"": {""stage_open_packet"": ""docs/agent_control/gro",,,,
30,stage_frontier_30__train_density_preserving_selector_before_loss_veto_or_exit_shape_pivot_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"no ONNX, joblib, or runtime handoff candidate recovered",,,,,,,,,,,
31,stage_frontier_31__exit_shape_pivot_for_density_preserved_source_scout_pf_lift_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"no ONNX, joblib, or runtime handoff candidate recovered",,,,,,,,,,,
32,stage_frontier_32__executable_sl_tp_mapping_for_return_space_exit_shape_handoff_surface_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,runtime_probe_ineligible_no_path_proxy_candidate_after_f32b`  Next action(다음 행동): `frontier33A_stage_open_path_native_exit_label_or_mfe_mae_surface_hypothesis_design_v1`  Claim boundary(주장 경계): completion/baseline/promot,,,,,,,runtime_probe_ineligible_no_path_proxy_candidate_after_f32b`  Next action(다음 행동): `frontier33A_stage_open_path_native_exit_label_or_mfe_mae_surface_hypothesis_design_v1`  Claim boundary(주장 경계): completion/baseline/promot,,,,
33,stage_frontier_33__path_native_exit_label_or_mfe_mae_surface_for_density_edge_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f33c_bounded_repair`  Next stage(다음 단계): `stage_frontier_34__path_native_short_scout_dd_compression_state_gate_for_seed_surface_onnx_scout`  Next run(다음 실행): `f,,,,,,,runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f33c_bounded_repair`  Next stage(다음 단계): `stage_frontier_34__path_native_short_scout_dd_compression_state_gate_for_seed_surface_onnx_scout`  Next run(다음 실행): `f,,,,
34,stage_frontier_34__path_native_short_scout_dd_compression_state_gate_for_seed_surface_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f34c_capped_repair`  Next stage(다음 단계): `stage_frontier_35__dd_compressed_short_state_pf_source_lift_for_seed_surface_onnx_scout`  Next run(다음 실행): `frontier35A,,,,,,,runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f34c_capped_repair`  Next stage(다음 단계): `stage_frontier_35__dd_compressed_short_state_pf_source_lift_for_seed_surface_onnx_scout`  Next run(다음 실행): `frontier35A,,,,
35,stage_frontier_35__dd_compressed_short_state_pf_source_lift_for_seed_surface_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f35c_capped_repair`  Next stage(다음 단계): `stage_frontier_36__short_pf_lift_source_change_or_label_pivot_for_seed_surface_onnx_scout`  Next run(다음 실행): `frontier3,,,,,,,runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f35c_capped_repair`  Next stage(다음 단계): `stage_frontier_36__short_pf_lift_source_change_or_label_pivot_for_seed_surface_onnx_scout`  Next run(다음 실행): `frontier3,,,,
36,stage_frontier_36__short_pf_lift_source_change_or_label_pivot_for_seed_surface_onnx_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f36c_exit_label_pivot_repair`  Grok closeout classification(그록 마감 분류): `accepted_closeout_preserved_clue_negative_memory_runtime_boundary`  Next stage(다음 단계): `,,,,,,,runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f36c_exit_label_pivot_repair`  Grok closeout classification(그록 마감 분류): `accepted_closeout_preserved_clue_negative_memory_runtime_boundary`  Next stage(다음 단계): `,,,,
37,stage_frontier_37__short_pf_edge_label_family_pivot_after_source_utility_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f37c_balanced_payoff_label_repair`  Grok closeout classification(그록 마감 분류): `accepted_closeout_payoff_label_family_negative_runtime_boundary`  Next stage(다음 단계),,,,,,,runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f37c_balanced_payoff_label_repair`  Grok closeout classification(그록 마감 분류): `accepted_closeout_payoff_label_family_negative_runtime_boundary`  Next stage(다음 단계),,,,
38,stage_frontier_38__short_pf_edge_source_family_or_model_pivot_after_payoff_label_negative,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f38c_model_score_repair"", ""claim_boundary"": {""completion"": ""not_claimed"", ""selected_baseline"": ""not_claimed"", ""operating_promotion"": ""not_claimed"", ""runtime_aut",,,,,,,"runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f38c_model_score_repair"", ""claim_boundary"": {""completion"": ""not_claimed"", ""selected_baseline"": ""not_claimed"", ""operating_promotion"": ""not_claimed"", ""runtime_aut",,,,
39,stage_frontier_39__short_pf_edge_regime_conditioned_score_after_f38_scout_only,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f39_ablation_guardrail_fail"", ""claim_boundary"": {""completion"": ""not_claimed"", ""selected_baseline"": ""not_claimed"", ""operating_promotion"": ""not_claimed"", ""runtime",,,,,,,"runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f39_ablation_guardrail_fail"", ""claim_boundary"": {""completion"": ""not_claimed"", ""selected_baseline"": ""not_claimed"", ""operating_promotion"": ""not_claimed"", ""runtime",,,,
40,stage_frontier_40__short_pf_edge_non_score_source_pivot_after_regime_gate_negative,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f40_proxy_repair"", ""claim_boundary"": {""completion"": ""not_claimed"", ""selected_baseline"": ""not_claimed"", ""operating_promotion"": ""not_claimed"", ""runtime_authority""",,,,,,,"runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f40_proxy_repair"", ""claim_boundary"": {""completion"": ""not_claimed"", ""selected_baseline"": ""not_claimed"", ""operating_promotion"": ""not_claimed"", ""runtime_authority""",,,,
41,stage_frontier_41__short_pf_edge_exit_shape_source_pivot_after_f40_raw_pocket_scout,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f41_exit_shape_proxy"", ""next_stage_id"": ""stage_frontier_42__short_pf_edge_timing_source_pivot_after_f41_exit_shape_negative"", ""next_run_id"": ""frontier42A_stage_",,,,,,,"runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f41_exit_shape_proxy"", ""next_stage_id"": ""stage_frontier_42__short_pf_edge_timing_source_pivot_after_f41_exit_shape_negative"", ""next_run_id"": ""frontier42A_stage_",,,,
42,stage_frontier_42__short_pf_edge_timing_source_pivot_after_f41_exit_shape_negative,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f42_timing_proxy"", ""next_stage_id"": ""stage_frontier_43__short_pf_edge_trade_shape_source_pivot_after_f42_timing_negative"", ""next_run_id"": ""frontier43A_stage_ope",,,,,,,"runtime_probe_ineligible_no_seed_or_runtime_candidate_after_f42_timing_proxy"", ""next_stage_id"": ""stage_frontier_43__short_pf_edge_trade_shape_source_pivot_after_f42_timing_negative"", ""next_run_id"": ""frontier43A_stage_ope",,,,
43,stage_frontier_43__short_pf_edge_trade_shape_source_pivot_after_f42_timing_negative,invalid_setup_no_runtime_material,invalid_setup_no_runtime_material,"runtime_probe_ineligible_no_scout_seed_or_runtime_candidate_after_f43_trade_shape_proxy"", ""next_stage_id"": ""stage_frontier_44__short_pf_edge_label_model_pivot_after_f43_trade_shape_negative"", ""next_run_id"": ""frontier44A_",,,,,,,"runtime_probe_ineligible_no_scout_seed_or_runtime_candidate_after_f43_trade_shape_proxy"", ""next_stage_id"": ""stage_frontier_44__short_pf_edge_label_model_pivot_after_f43_trade_shape_negative"", ""next_run_id"": ""frontier44A_",,,,
