source_path,exists,sha256,row_count_or_keys,package_use,forbidden_use,lineage_status,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/claim_boundary_review.csv,true,541d639a4e20758c5c091d95ad8457352581574f8c4046af03e90b45d06fcea8,1,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/repair_blueprint_gap_queue.csv,true,b02cf0b355ac85b83eab645413a9451f7dc940dda491ae8f61b22ebafbc10015,0,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/required_gate_coverage_audit.csv,true,d3b8db20a9ceae6e0abb9fae57dc5f017e4328c7c3ed541c6ec75641c1f24571,13,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/final_review_protocol_bound_execution_blueprints_decision.json,true,a55eda90ecbb57f9e906bc773e4b2c02a32f4108a7ffb10ea00cc93c3c87b959,claim_boundary;decision;failed_gates;forward_failed;forward_passed;goal_achieve;judgment;metrics;model_training;mt5_execution;next_action;parent_run_id;run_id;runtime_authority;selected_candidate;stage_id;status,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/run_manifest.json,true,301607ff0d7ed59c9c37b73e86a4cb06419ab24c701f6c5955c636eb9b353aa8,claim_boundary;created_at_utc;decision;external_verification_status;next_action;outputs;parent_run_id;producer;run_id;run_number;source_inputs;stage_id;status,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/no_lookahead_harness_blueprint.csv,true,284b7b54ff2cc9ce8b7f89f5573ec9194c71e551ba40e381e03765f3f0a9fa2c,5,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/no_lookahead_harness_schema.json,true,69d69fc28f2f70bfdcbee3891f94a6661b6292e5ea0252d031a22afbb703135b,bad_control_families;claim_boundary;must_fail_to_pass;required_columns;schema_id,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/proxy_expected_schema_blueprint.csv,true,fe97e3d8777f1b472f26644bd2d872a3fb208bbf56220031246140bf27b40431,5,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/mt5_runtime_probe_package_blueprint.csv,true,67db3f611ccda6d663819bb4338c439386fb681c7a4dcad0dcd2893f0b516bd0,5,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/proxy_mt5_difference_schema.json,true,26ec51215c2141617bb2acfd3a14a5b9c3b42fb7786154dd77c8e38315046e90,claim_boundary;grain;kpi_authority;required_columns;schema_id;summary_metrics,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/core56_repair_blueprint.csv,true,dc4e8f3996cebe525be83664b07eaf82c1ab743eae6be7fd96efc837b934272f,5,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/core56_asof_join_schema.json,true,046e338df67e929541fb38f43dcb0098678d513c28456309efb4c2d5ba64f50c,claim_boundary;invalid_if;join_keys;repair_required_if;required_columns;schema_id,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/cost_direction_curve_extraction_blueprint.csv,true,4067799d62b91b20c210130fca286de782adeff48bd35c0f8611d1730499c7b2,5,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/cost_direction_curve_report_schema.json,true,903172264661183230aea191c36687ef098c4080521a3848cdc7fa46c8173c3f,claim_boundary;invalid_if;reports;schema_id,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/offense_branch_blueprint.csv,true,e71d103590f63ca2e2a8d122b9e28b8c0269de334cc5cda690de0eb27b25b3c8,4,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/economic_regime_asof_source_blueprint.csv,true,2a4caf9f68da0a3e14a63379efb40df2ec7eb7a9e7541966872c7cd25ddbee47,6,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/economic_regime_slice_schema.json,true,6f264214eecc79a60d25033b26689450e087cdd30054fe1996f27875147216f6,claim_boundary;invalid_if;required_columns;schema_id;slice_families,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/runtime_probe_package_blueprint.csv,true,9ca7b2b18e8bd8c237dd6ea3fbdf3f8565ce59ebeaec668a59cd369347f4b8bd,5,run337H reviewed execution package materialization only,"model training, MT5 execution, threshold retune, lot optimization, forward-pocket filtering, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
