source_path,exists,sha256,role,consumer,availability,lineage_judgment,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/economic_regime_asof_runner_scaffold.csv,true,a0b7164886d00d617dbd51a321bd1214df0c6b8186965e4dbe832d6eab1f9fe1,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/claim_guard_runner_scaffold.csv,true,070ad91ebf5767babdb8942500648210e6d4c11aedff86c88c1074de64b0fb52,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/package_index_runner_scaffold.csv,true,b22ca4f2d89ee1ef5c181eb9e652747931b0e447681e2db909703332150d4ae1,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/no_lookahead_canary_harness_package_spec.csv,true,ae3152491daf3cfbc457aade15283b1ae037ba27da1af8b814b8bf7c2cf54a1a,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/proxy_mt5_fresh_probe_package_spec.csv,true,c333017ed6982f69e4eeb09dfe7e473bd598b8f5c4d38e9251dc8b217731f813,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/runtime_probe_package_spec.csv,true,921e66ec26a145143450284b224ac0d4b7ad744ebe9dea8b3a6d6367551fb948,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/core56_asof_repair_package_spec.csv,true,81649200a07ade73399b897bc49221c283148593598bce7732fa33e1531b1f20,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/cost_direction_curve_extraction_package_spec.csv,true,0e68b1e49d09c489c8f5fca5358ac932c29945f82b1388607bc149aba4711df6,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/economic_regime_asof_join_package_spec.csv,true,463812fb8f0cc407c75095301901cd0fa17be6dca519414d601f7c6f0eb63b1c,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/claim_guard_blocker_package_spec.csv,true,f2cb03aee88810074815a02a63749aaf4cb96c9ee79e4a1726d60a4b26e54967,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/package_manifest_index.csv,true,4877891888e824ae47b8757bbb669d5e46b78adc5e476b715ca53b248bb184b1,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/proxy_expected_signal_values.csv,true,d8834ff23924468ce3c9c467a13ba4290dd9ded07a032cf71c1e5ba11158bbc3,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/mt5_runtime_probe_observed_values.csv,true,0e480ea9ac1560b3338da38be1b731c4ce169221d852a68894d6c43cd5c29100,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/proxy_mt5_difference_report.csv,true,3122db32c88d38efa6eb57b43f3b756260d9e5b73b60d2f326bcc647df1e296d,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337B/proxy_mt5_usability_decision.csv,true,f8f1f0c99053ef7a81287499f307b23301889c9492b3b0c8beb1a9eb0f6e91b0,run337L input materialization source,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,tracked_or_source_artifact_present,connected_with_boundary,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
