branch_id,evidence_id,proves,required_before,missing_policy
run335C_b05_regime_predeclared_macro_state,no_retune_receipt,"threshold, lot, direct pocket filtering, and subject swap remain forbidden",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b05_regime_predeclared_macro_state,runtime_parity_requirement,MT5 tester output and telemetry required before runtime claim,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b05_regime_predeclared_macro_state,result_judgment,candidate/forward/runtime/goal claims remain not_claimed unless evidence exists,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b06_runtime_identity_strict_handoff,source_file_index,all source files hashed and row-counted,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b06_runtime_identity_strict_handoff,latest_forward_data_inventory,post-2026-04-14 raw/feature evidence boundary named,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b06_runtime_identity_strict_handoff,feature_label_boundary_statement,no future data enters feature or label construction,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b06_runtime_identity_strict_handoff,paired_tier_kpi_plan,"Tier A separate, Tier B separate, and Tier A+B combined rows exist",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b06_runtime_identity_strict_handoff,negative_control_report,shuffle/adjacent/state-neutral control is evaluated or explicitly blocked,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b06_runtime_identity_strict_handoff,no_retune_receipt,"threshold, lot, direct pocket filtering, and subject swap remain forbidden",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b06_runtime_identity_strict_handoff,runtime_parity_requirement,MT5 tester output and telemetry required before runtime claim,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b06_runtime_identity_strict_handoff,result_judgment,candidate/forward/runtime/goal claims remain not_claimed unless evidence exists,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b07_cp322a_exact_blocker_control,source_file_index,all source files hashed and row-counted,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b07_cp322a_exact_blocker_control,latest_forward_data_inventory,post-2026-04-14 raw/feature evidence boundary named,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b07_cp322a_exact_blocker_control,feature_label_boundary_statement,no future data enters feature or label construction,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b07_cp322a_exact_blocker_control,paired_tier_kpi_plan,"Tier A separate, Tier B separate, and Tier A+B combined rows exist",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b07_cp322a_exact_blocker_control,negative_control_report,shuffle/adjacent/state-neutral control is evaluated or explicitly blocked,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b07_cp322a_exact_blocker_control,no_retune_receipt,"threshold, lot, direct pocket filtering, and subject swap remain forbidden",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b07_cp322a_exact_blocker_control,runtime_parity_requirement,MT5 tester output and telemetry required before runtime claim,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b07_cp322a_exact_blocker_control,result_judgment,candidate/forward/runtime/goal claims remain not_claimed unless evidence exists,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b08_cost_curve_drawdown_interaction_guard,source_file_index,all source files hashed and row-counted,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b08_cost_curve_drawdown_interaction_guard,latest_forward_data_inventory,post-2026-04-14 raw/feature evidence boundary named,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b08_cost_curve_drawdown_interaction_guard,feature_label_boundary_statement,no future data enters feature or label construction,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b08_cost_curve_drawdown_interaction_guard,paired_tier_kpi_plan,"Tier A separate, Tier B separate, and Tier A+B combined rows exist",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b08_cost_curve_drawdown_interaction_guard,negative_control_report,shuffle/adjacent/state-neutral control is evaluated or explicitly blocked,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b08_cost_curve_drawdown_interaction_guard,no_retune_receipt,"threshold, lot, direct pocket filtering, and subject swap remain forbidden",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b08_cost_curve_drawdown_interaction_guard,runtime_parity_requirement,MT5 tester output and telemetry required before runtime claim,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b08_cost_curve_drawdown_interaction_guard,result_judgment,candidate/forward/runtime/goal claims remain not_claimed unless evidence exists,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b09_regime_direction_interaction_guard,source_file_index,all source files hashed and row-counted,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b09_regime_direction_interaction_guard,latest_forward_data_inventory,post-2026-04-14 raw/feature evidence boundary named,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b09_regime_direction_interaction_guard,feature_label_boundary_statement,no future data enters feature or label construction,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b09_regime_direction_interaction_guard,paired_tier_kpi_plan,"Tier A separate, Tier B separate, and Tier A+B combined rows exist",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b09_regime_direction_interaction_guard,negative_control_report,shuffle/adjacent/state-neutral control is evaluated or explicitly blocked,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b09_regime_direction_interaction_guard,no_retune_receipt,"threshold, lot, direct pocket filtering, and subject swap remain forbidden",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b09_regime_direction_interaction_guard,runtime_parity_requirement,MT5 tester output and telemetry required before runtime claim,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b09_regime_direction_interaction_guard,result_judgment,candidate/forward/runtime/goal claims remain not_claimed unless evidence exists,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b10_subject_swap_negative_control,source_file_index,all source files hashed and row-counted,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b10_subject_swap_negative_control,latest_forward_data_inventory,post-2026-04-14 raw/feature evidence boundary named,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b10_subject_swap_negative_control,feature_label_boundary_statement,no future data enters feature or label construction,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b10_subject_swap_negative_control,paired_tier_kpi_plan,"Tier A separate, Tier B separate, and Tier A+B combined rows exist",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b10_subject_swap_negative_control,negative_control_report,shuffle/adjacent/state-neutral control is evaluated or explicitly blocked,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b10_subject_swap_negative_control,no_retune_receipt,"threshold, lot, direct pocket filtering, and subject swap remain forbidden",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b10_subject_swap_negative_control,runtime_parity_requirement,MT5 tester output and telemetry required before runtime claim,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b10_subject_swap_negative_control,result_judgment,candidate/forward/runtime/goal claims remain not_claimed unless evidence exists,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b11_null_adjacent_period_control,source_file_index,all source files hashed and row-counted,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b11_null_adjacent_period_control,latest_forward_data_inventory,post-2026-04-14 raw/feature evidence boundary named,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b11_null_adjacent_period_control,feature_label_boundary_statement,no future data enters feature or label construction,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b11_null_adjacent_period_control,paired_tier_kpi_plan,"Tier A separate, Tier B separate, and Tier A+B combined rows exist",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b11_null_adjacent_period_control,negative_control_report,shuffle/adjacent/state-neutral control is evaluated or explicitly blocked,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b11_null_adjacent_period_control,no_retune_receipt,"threshold, lot, direct pocket filtering, and subject swap remain forbidden",run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b11_null_adjacent_period_control,runtime_parity_requirement,MT5 tester output and telemetry required before runtime claim,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
run335C_b11_null_adjacent_period_control,result_judgment,candidate/forward/runtime/goal claims remain not_claimed unless evidence exists,run335D_materialization_or_any_later_scoring,missing_required_or_blocked_not_silent_skip
