stage_label,stage_id,model_label,model_family,characteristic_lens,selection_use,avoid_use,axes,reference_run,reference_path,validation_net_profit,validation_pf,oos_net_profit,oos_pf,selected_variant,topic_read,stage_registry_rows,stage_runtime_rows,completed_mt5_runtime_rows,external_verification,mt5_link,source_state,source_paths,boundary,reopen_condition
Stage25(25단계),25_exit_model__hazard_trade_lifecycle_risk,Hazard model(위험률 모델),sklearn_discrete_time_hazard(사이킷런 이산 시간 위험률),"포지션 나이(position age, 포지션 나이)와 경과 봉 위험률을 읽는다.","손실 회피/평탄화(flat pressure, 평탄 압력) 보조층으로 쓴다.",현재 MT5 결과는 음수라 진입 신호로 쓰지 않는다.,position_age|hazard_elapsed_bar|close_ema20_ratio|historical_vol_20,run19B_hazard_trade_lifecycle_runtime_probe_v1,stages/25_exit_model__hazard_trade_lifecycle_risk/02_runs/run19B_hazard_trade_lifecycle_runtime_probe_v1,-89.59,0.94,-174.49,0.83,v04_logit_core24_reversal_after_favorable_1x,hazard_permission_fixed_elapsed_flat_close_runtime_handoff,2,2,1,completed,hazard permission MT5 runtime probe(위험률 허용 MT5 런타임 탐침),ok(정상),docs/workspace/stage20_27_characteristic_synthesis.md,runtime_probe_only,"동적 보유 관리(dynamic hold management, 동적 보유 관리)가 주제일 때만 연다."
Stage26(26단계),26_model_family_challenge__ngboost_probabilistic_distribution_shape,NGBoost(자연 그래디언트 부스팅),ngboost_distribution(엔지부스트 분포 모델),"분포 불확실성(distributional uncertainty, 분포 불확실성)과 entropy(엔트로피)를 읽는다.","확신도(confidence, 확신도)와 불확실성 기권을 만들 때 참고한다.",표본이 너무 작아 성능 후보로 확대하지 않는다.,distribution_uncertainty|entropy|confidence|small_sample,run20B_ngboost_distribution_runtime_probe_v1,stages/26_model_family_challenge__ngboost_probabilistic_distribution_shape/02_runs/run20B_ngboost_distribution_runtime_probe_v1,-17.21,0.05,39.49,2.37,v02_core42_distribution_surface,ngboost_distribution_distilled_runtime_handoff,2,2,1,completed,distilled score table MT5 runtime probe(증류 점수표 MT5 런타임 탐침),ok(정상),docs/workspace/stage20_27_characteristic_synthesis.md,runtime_probe_only,Stage23/27/30(23/27/30단계) 기권 표면을 합칠 때만 연다.
Stage27(27단계),27_tail_model__quantile_boosting_risk_surface,Quantile boosting(분위수 부스팅),sklearn_quantile_boosting_tail(사이킷런 분위수 부스팅 꼬리 모델),tail-risk surface(꼬리 위험 표면)와 interval coverage(구간 포괄)을 읽는다.,위험 상단/하단 꼬리를 분리하는 보조 표면으로 쓴다.,검증 음수와 높은 손실폭을 무시하지 않는다.,tail_risk|interval_coverage|tier_b_fallback|bollinger_width_20|ema50_ema200_diff,run21B_quantile_boosting_tail_risk_runtime_probe_v1,stages/27_tail_model__quantile_boosting_risk_surface/02_runs/run21B_quantile_boosting_tail_risk_runtime_probe_v1,-38.20,0.97,79.17,1.07,v02_core42_tail_risk_surface,quantile_boosting_tail_distilled_runtime_handoff,2,2,1,completed,Tier B fallback routed MT5 probe(티어 B 대체 라우팅 MT5 탐침),ok(정상),docs/workspace/stage20_27_characteristic_synthesis.md,runtime_probe_only,기권/꼬리 위험 표면을 비교할 때만 연다.
Stage28(28단계),28_regime_model__markov_switching_regression_state_link,Markov regression(마르코프 회귀),statsmodels_markov_regression(스탯츠모델즈 마르코프 회귀),return-linked switching state(수익률 연결 전환 상태)와 score table(점수표) 상태를 읽는다.,"상태 전환(state transition, 상태 전환)과 허용 필터를 나눌 때 쓴다.",Stage34(34단계) 재귀속 없이 Stage28(28단계) 수치만으로 판단하지 않는다.,markov_state|switching_variance|state_score_table|long_permission,run22B_markov_regression_state_runtime_probe_v1,stages/28_regime_model__markov_switching_regression_state_link/02_runs/run22B_markov_regression_state_runtime_probe_v1,244.08,1.77,111.27,1.31,v01_return_2state_switchvar,markov_regression_state_table_runtime_handoff,3,3,1,completed,score-table Markov MT5 runtime probe(점수표 마르코프 MT5 런타임 탐침),ok(정상),stages/28_regime_model__markov_switching_regression_state_link/03_reviews/run22C_markov_regression_supplement_packet.md,runtime_probe_only,Stage34/35(34/35단계) 상태 문맥과 결합할 때만 쓴다.
Stage29(29단계),29_adaptive_model__river_online_drift_learning,River online ML(리버 온라인 머신러닝),river_online_learning(리버 온라인 학습),"온라인 적응(online adaptation, 온라인 적응)과 drift(드리프트)를 읽는다.",고정 학습 모델이 시간 변화에 무너지는지 보는 대조축으로 쓴다.,native revalidation(원본 재검증) 결과가 약해 운영 적응으로 말하지 않는다.,online_learning|drift|slow_adaptation|score_table_handoff,run23D_river_native_online_runtime_probe_v1,stages/29_adaptive_model__river_online_drift_learning/02_runs/run23D_river_native_online_runtime_probe_v1,-115.71,0.93,-202.2,0.83,v01_river_logreg_core42_slow_adapt,,4,4,2,completed,native River distilled MT5 probe(원본 리버 증류 MT5 탐침),ok(정상),docs/workspace/stage29_32_native_revalidation_supplement.md,runtime_probe_only,rolling/online(구르는/온라인) 재학습이 핵심 질문일 때만 연다.
Stage30(30단계),30_decision_layer__probability_calibration_abstention,Calibration/abstention(보정/기권),isotonic_margin_abstention(아이소토닉 마진 기권),"확률 보정(probability calibration, 확률 보정), margin(마진), abstention(기권)을 읽는다.",새 모델의 raw probability(원시 확률)를 바로 쓰기 전 필수 의사결정층으로 본다.,OOS(표본외) native 결과가 약하므로 단독 알파로 쓰지 않는다.,calibration|abstention|margin|permission_filter,run24D_native_source_calibration_runtime_probe_v1,stages/30_decision_layer__probability_calibration_abstention/02_runs/run24D_native_source_calibration_runtime_probe_v1,44.19,1.27,-1.32,0.69,v02_isotonic_margin_abstention_native_source,,4,4,2,completed,native source calibration MT5 probe(원본 소스 보정 MT5 탐침),ok(정상),docs/workspace/stage29_32_native_revalidation_supplement.md,runtime_probe_only,어떤 모델을 고르든 마지막 decision layer(결정층)를 설계할 때 연다.
Stage31(31단계),31_model_family_challenge__tabnet_attentive_tabular_scout,TabNet(탭넷),pytorch_tabnet_attention(파이토치 탭넷 주의집중),attention mask(주의집중 마스크)와 sparse tabular selection(희소 표 형식 선택)을 읽는다.,"피처 선택(feature selection, 피처 선택)이 학습 내부에서 어떻게 드러나는지 볼 때 참고한다.",native MT5 결과가 약해 다음 모델 기본 선택으로 올리지 않는다.,attention_mask|sparse_selection|tabular_deep|feature_importance,run25D_tabnet_native_attentive_runtime_probe_v1,stages/31_model_family_challenge__tabnet_attentive_tabular_scout/02_runs/run25D_tabnet_native_attentive_runtime_probe_v1,-498.33,0.6,-4.32,1,v02_tabnet_native_steps3_sparse,,4,4,2,completed,native TabNet distilled MT5 probe(원본 탭넷 증류 MT5 탐침),ok(정상),docs/workspace/stage29_32_native_revalidation_supplement.md,runtime_probe_only,피처 선택 구조 자체를 비교할 때만 쓴다.
Stage32(32단계),32_sequence_model__tcn_temporal_convolution_context,TCN(시간 합성곱 네트워크),torch_tcn_temporal_convolution(파이토치 시간 합성곱 네트워크),"dilated temporal context(확장 시간 문맥)와 순서 반응(sequence response, 순서 반응)을 읽는다.",M5(5분봉) 문맥 순서가 중요할 때 deep sequence(심층 순서) 후보로 참고한다.,score table handoff(점수표 인계) 경계를 원본 실시간 모델로 과장하지 않는다.,temporal_context|dilated_convolution|sequence_model|return_range,run26D_torch_tcn_native_temporal_runtime_probe_v1,stages/32_sequence_model__tcn_temporal_convolution_context/02_runs/run26D_torch_tcn_native_temporal_runtime_probe_v1,75.26,1.04,111.77,1.07,v01_torch_tcn_dilated_context_native,,4,4,2,completed,native Torch TCN distilled MT5 probe(원본 파이토치 TCN 증류 MT5 탐침),ok(정상),docs/workspace/stage29_32_native_revalidation_supplement.md,runtime_probe_only,순서 문맥을 Stage35(35단계) 상태 지도와 연결할 때 연다.
Stage34(34단계),34_regime_mechanism__tier_a_markov_long_permission_attribution,Markov long permission attribution(마르코프 매수 허용 귀속),markov_regression_permission_attribution(마르코프 회귀 허용 귀속),Tier A(티어 A) Markov long permission(매수 허용)을 vol/adx/entry-time(변동성/ADX/진입 시점)으로 귀속한다.,상태 필터를 다시 쓸 때 의존축과 보유시간 경고를 함께 본다.,얇은 거래 수와 2025-10(2025년 10월) 의존을 숨기지 않는다.,markov_state|long_permission|vol_high|adx_20_25|hold_duration,stage34_tier_a_markov_long_permission_attribution_closeout_v1,stages/34_regime_mechanism__tier_a_markov_long_permission_attribution/03_reviews/stage34_closeout_packet.md,,,,,,,7,6,1,completed_for_run28E_run28F_mt5,Stage34 run28E/run28F MT5 runtime probes(34단계 28E/28F MT5 런타임 탐침),ok(정상),stages/34_regime_mechanism__tier_a_markov_long_permission_attribution/03_reviews/stage34_closeout_packet.md,closeout_only_not_edge_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority,상태 필터를 실제 모델 선택에 재사용하려면 vol/adx/hold(변동성/ADX/보유) 문제를 먼저 묶어야 한다.
Stage35(35단계),35_context_map__unsupervised_market_state_atlas,KMeans state atlas(K-평균 상태 지도),unsupervised_kmeans_state_atlas(비지도 K-평균 상태 지도),"비지도 시장 상태(unsupervised market state, 비지도 시장 상태)와 세션/수익률/변동성/추세 지도를 읽는다.",모델 선택 전에 시장 문맥을 나눠 후보를 배치할 때 참고한다.,fragile seed(취약 씨앗)를 승격 후보로 올리지 않는다.,unsupervised_state|return_volatility|session_timing|trend_momentum|drift_stress,stage35_context_map_closeout_v1,stages/35_context_map__unsupervised_market_state_atlas/03_reviews/stage35_closeout_packet.md,,,,,,,4,4,0,see_notes(노트 확인),Stage35 run29A-run29C MT5 state probes(35단계 29A-29C MT5 상태 탐침),ok(정상),stages/35_context_map__unsupervised_market_state_atlas/03_reviews/stage35_closeout_packet.md,stage36_model_selection_reference_only_not_edge_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority,시장 상태 지도를 다음 모델군 선택의 stratification(층화)으로 쓸 때만 연다.
