stage_label,model_label,reference_run,completed_mt5_runtime_rows,coverage_read,external_verification,mt5_link,runtime_parity_boundary,backtest_forensics_read
Stage20(20단계),GAM(일반화 가산 모델),run14B_gam_runtime_handoff_probe_v1,1,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,actual routed MT5 rerun for validation/OOS(검증/표본외 실제 라우팅 MT5 재실행),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage21(21단계),ElasticNet Logistic(엘라스틱넷 로지스틱),run15B_elasticnet_logistic_onnx_runtime_probe_v1,1,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,ONNX probability-only MT5 handoff(온닉스 확률 전용 MT5 인계),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage22(22단계),HMM(은닉 마르코프 모델),run16B_hmm_state_runtime_probe_v1,1,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,precomputed HMM state MT5 handoff(사전 계산 HMM 상태 MT5 인계),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage23(23단계),Supervised regime classifier(지도 국면 분류기),run17B_supervised_regime_classifier_runtime_probe_v1,1,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,positive validation/OOS MT5 routed probe(검증/표본외 양수 MT5 라우팅 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage24(24단계),Survival model(생존 모델),run18B_survival_time_to_event_runtime_probe_v1,1,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,survival permission MT5 runtime probe(생존 허용 MT5 런타임 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage25(25단계),Hazard model(위험률 모델),run19B_hazard_trade_lifecycle_runtime_probe_v1,1,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,hazard permission MT5 runtime probe(위험률 허용 MT5 런타임 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage26(26단계),NGBoost(자연 그래디언트 부스팅),run20B_ngboost_distribution_runtime_probe_v1,1,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,distilled score table MT5 runtime probe(증류 점수표 MT5 런타임 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage27(27단계),Quantile boosting(분위수 부스팅),run21B_quantile_boosting_tail_risk_runtime_probe_v1,1,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,Tier B fallback routed MT5 probe(티어 B 대체 라우팅 MT5 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage28(28단계),Markov regression(마르코프 회귀),run22B_markov_regression_state_runtime_probe_v1,1,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,score-table Markov MT5 runtime probe(점수표 마르코프 MT5 런타임 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage29(29단계),River online ML(리버 온라인 머신러닝),run23D_river_native_online_runtime_probe_v1,2,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,native River distilled MT5 probe(원본 리버 증류 MT5 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage30(30단계),Calibration/abstention(보정/기권),run24D_native_source_calibration_runtime_probe_v1,2,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,native source calibration MT5 probe(원본 소스 보정 MT5 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage31(31단계),TabNet(탭넷),run25D_tabnet_native_attentive_runtime_probe_v1,2,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,native TabNet distilled MT5 probe(원본 탭넷 증류 MT5 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage32(32단계),TCN(시간 합성곱 네트워크),run26D_torch_tcn_native_temporal_runtime_probe_v1,2,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,native Torch TCN distilled MT5 probe(원본 파이토치 TCN 증류 MT5 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage34(34단계),Markov long permission attribution(마르코프 매수 허용 귀속),stage34_tier_a_markov_long_permission_attribution_closeout_v1,1,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed_for_run28E_run28F_mt5,Stage34 run28E/run28F MT5 runtime probes(34단계 28E/28F MT5 런타임 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage35(35단계),KMeans state atlas(K-평균 상태 지도),stage35_context_map_closeout_v1,0,non_runtime_or_missing_mt5(비런타임 또는 MT5 누락),see_notes(노트 확인),Stage35 run29A-run29C MT5 state probes(35단계 29A-29C MT5 상태 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
