branch_id,stop_rule_id,trigger,required_action,claim_effect
run335C_b10_subject_swap_negative_control,tier_view_missing,"Tier A, Tier B, or combined view is absent without explicit boundary",missing_required_or_blocked,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b10_subject_swap_negative_control,runtime_evidence_missing,MT5 tester report or telemetry is absent,no_runtime_claim,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b10_subject_swap_negative_control,subject_boundary_break,cp322A exact is mixed with run333E or non-identity evidence,invalid_or_must_reject,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b10_subject_swap_negative_control,data_identity_mismatch,"source hash, row count, or time-axis identity mismatches",blocked_until_repaired,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b11_null_adjacent_period_control,forbidden_tuning_required,"improvement requires threshold, lot, stop, target, or direct pocket filter",stop_or_downgrade,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b11_null_adjacent_period_control,negative_control_tracks_target,negative control improves similarly to target branch,downgrade_to_overfit_memory,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b11_null_adjacent_period_control,tier_view_missing,"Tier A, Tier B, or combined view is absent without explicit boundary",missing_required_or_blocked,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b11_null_adjacent_period_control,runtime_evidence_missing,MT5 tester report or telemetry is absent,no_runtime_claim,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b11_null_adjacent_period_control,subject_boundary_break,cp322A exact is mixed with run333E or non-identity evidence,invalid_or_must_reject,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b11_null_adjacent_period_control,data_identity_mismatch,"source hash, row count, or time-axis identity mismatches",blocked_until_repaired,no Forward Passed/Failed and no Goal Achieve under this condition
