queue_id,source_matrix_id,candidate_id,candidate_alias,test_type,test_id,feature_family,features_or_replacements,materialization_lane,required_views,success_gate,failure_gate,claim_boundary
run267N_11_s262_lih_abl_ma_trend,s262_lih__abl_ma_trend,s262_lowrank_inner_half_filter,s262_lih,feature_category_ablation(피처 범주 제거),abl_ma_trend,moving_average_trend,close_ema20_ratio;close_ema50_ratio;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;ema20_ema50_spread_zscore_50;sma50_sma200_ratio,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_12_s262_lih_abl_trend_strength_direction,s262_lih__abl_trend_strength_direction,s262_lowrank_inner_half_filter,s262_lih,feature_category_ablation(피처 범주 제거),abl_trend_strength_direction,trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_13_s262_lih_rep_trend_strength_adx,s262_lih__rep_trend_strength_adx,s262_lowrank_inner_half_filter,s262_lih,similar_feature_replacement(유사 피처 대체),rep_trend_strength_adx,trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_14_s262_lih_rep_volatility_atr,s262_lih__rep_volatility_atr,s262_lowrank_inner_half_filter,s262_lih,similar_feature_replacement(유사 피처 대체),rep_volatility_atr,volatility_risk(변동성 위험),atr_14 -> atr_50;atr_14_over_atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_15_s264_aia_abl_volatility_bandwidth,s264_aia__abl_volatility_bandwidth,s264_allow_inner_all_oos_anchor,s264_aia,feature_category_ablation(피처 범주 제거),abl_volatility_bandwidth,volatility_bandwidth,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_16_s264_aia_abl_trend_strength_direction,s264_aia__abl_trend_strength_direction,s264_allow_inner_all_oos_anchor,s264_aia,feature_category_ablation(피처 범주 제거),abl_trend_strength_direction,trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_17_s264_aia_abl_session_timing,s264_aia__abl_session_timing,s264_allow_inner_all_oos_anchor,s264_aia,feature_category_ablation(피처 범주 제거),abl_session_timing,session_timing,is_us_cash_open;minutes_from_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;overnight_return,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_18_s264_aia_rep_trend_strength_adx,s264_aia__rep_trend_strength_adx,s264_allow_inner_all_oos_anchor,s264_aia,similar_feature_replacement(유사 피처 대체),rep_trend_strength_adx,trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_19_s264_aia_rep_volatility_atr,s264_aia__rep_volatility_atr,s264_allow_inner_all_oos_anchor,s264_aia,similar_feature_replacement(유사 피처 대체),rep_volatility_atr,volatility_risk(변동성 위험),atr_14 -> atr_50;atr_14_over_atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_20_s258_stc_abl_price_return_range,s258_stc__abl_price_return_range,s258_short_tight_control,s258_stc,feature_category_ablation(피처 범주 제거),abl_price_return_range,price_return_range,log_return_1;log_return_3;hl_range;close_open_ratio;gap_percent;close_prev_close_ratio;return_zscore_20;hl_zscore_50;return_1_over_atr_14,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_21_s258_stc_abl_volatility_bandwidth,s258_stc__abl_volatility_bandwidth,s258_short_tight_control,s258_stc,feature_category_ablation(피처 범주 제거),abl_volatility_bandwidth,volatility_bandwidth,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_22_s258_stc_abl_trend_strength_direction,s258_stc__abl_trend_strength_direction,s258_short_tight_control,s258_stc,feature_category_ablation(피처 범주 제거),abl_trend_strength_direction,trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_23_s258_stc_abl_session_timing,s258_stc__abl_session_timing,s258_short_tight_control,s258_stc,feature_category_ablation(피처 범주 제거),abl_session_timing,session_timing,is_us_cash_open;minutes_from_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;overnight_return,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_24_s258_stc_rep_trend_strength_adx,s258_stc__rep_trend_strength_adx,s258_short_tight_control,s258_stc,similar_feature_replacement(유사 피처 대체),rep_trend_strength_adx,trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
