source_path,source_sha256,source_exists,source_row_count,source_manifest_linked,parent_lineage_review,used_by_run337F,allowed_use,forbidden_use,lineage_status,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337D/required_gate_coverage_audit.csv,7be1c511b79657895500d7c2d14d792ac5a19592767121519705d28e5d8846cb,true,12,true,pass,context_only,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337D/final_research_execution_protocols_decision.json,be2038d7e0eb0eeb660437f9a8aac6476eca9ca2a597b29a3f2c6fec533f80f2,true,,true,pass,context_only,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337D/run_manifest.json,feb80ec4676afe50e4e710b151837dd2f581f4bb36f4dfca4a063887a45f4a39,true,,true,pass,context_only,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337E/no_lookahead_protocol_review.csv,a73983b84cade30dc23309d65fbcca0b7d6f631befb12a2345c22f4a20fd61dd,true,6,true,run337E_review_output,true,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337E/proxy_mt5_fresh_probe_protocol_review.csv,04d4e120fdb9c45a79638c7130702c25ecc1462894c92ded20052b7a435cca5a,true,5,true,run337E_review_output,true,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337E/core56_refresh_protocol_review.csv,e3eef05489f5cfde737dfd93d9fa0f7ebf05693744b20b6913da50bf1f890e31,true,5,true,run337E_review_output,true,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337E/cost_direction_curve_protocol_review.csv,d1679d64ea9ecbd67b085c3e4b516224d6ec2a17a16d38fa1538324f2125cf6d,true,6,true,run337E_review_output,true,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337E/offense_rebuild_protocol_review.csv,66d5426d8715e81cc98b019e3c31f1412d1948964173eac1e21039fbc6d4ec56,true,4,true,run337E_review_output,true,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337E/economic_regime_asof_protocol_review.csv,78433ee798d553a43c9cf8baf4de6141d5faa1e5e42503c54b84c4a2578b4118,true,6,true,run337E_review_output,true,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337E/runtime_probe_requirements_review.csv,7da1fe82d0b384ce44e8cc1b000eded06abbb6ff9fb901e33407993c80c4c492,true,5,true,run337E_review_output,true,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
