run_id,group_type,group_value,cycle_rows,long_signal_count,short_signal_count,order_attempt_count,time_margin_guard_block_count,short_signal_share,order_rate_per_cycle,pressure_label,effect,claim_boundary
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2025-12,1166,237,11,123,8,0.0443548387,0.1054888508,h19_guard_observed(h19 가드 관측);calendar_stress_watch(달력 압박 감시),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2026-01,1172,320,14,162,4,0.0419161677,0.138225256,h19_guard_observed(h19 가드 관측);short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2026-02,1133,378,31,179,1,0.075794621,0.1579876434,h19_guard_observed(h19 가드 관측),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2026-03,1254,0,4,8,0,1.0,0.0063795853,normal_runtime_pressure(일반 런타임 압박),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2026-04,516,195,1,92,4,0.0051020408,0.1782945736,h19_guard_observed(h19 가드 관측);short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_quarter,2025Q1,3270,546,46,333,9,0.0777027027,0.1018348624,h19_guard_observed(h19 가드 관측),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_quarter,2025Q2,3597,1018,40,521,11,0.0378071834,0.1448429247,h19_guard_observed(h19 가드 관측);short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_quarter,2025Q3,2977,385,6,262,12,0.0153452685,0.0880080618,h19_guard_observed(h19 가드 관측);short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_quarter,2025Q4,3509,902,57,443,13,0.0594369135,0.126246794,h19_guard_observed(h19 가드 관측),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_quarter,2026Q1,3559,698,49,349,5,0.0655957162,0.0980612532,h19_guard_observed(h19 가드 관측),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_quarter,2026Q2,516,195,1,92,4,0.0051020408,0.1782945736,h19_guard_observed(h19 가드 관측);short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
