check_id,branch_id,control_id,target_risk,enforcement_scope,test_design,expected_failure_signature,stop_condition,repair_action,enforcement_status,claim_boundary
defense_cost_curve_underwater_gate__future_shift_join_canary,defense_cost_curve_underwater_gate,future_shift_join_canary,lookahead_join,global_required_control,force any nearest/future timestamp repair to fail,future or nearest trade key appears,block run and repair attribution logic,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__old_proxy_rank_canary,defense_cost_curve_underwater_gate,old_proxy_rank_canary,proxy_overfit,global_required_control,assert old proxy expected values never enter rank or Forward decision,old proxy column used as score input,block score packet,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__forward_pocket_filter_canary,defense_cost_curve_underwater_gate,forward_pocket_filter_canary,calendar_overfit,explicit_branch_control,reject direct filter on known forward weak pocket,calendar pocket becomes branch rule,move to invalid setup,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__threshold_retune_canary,defense_cost_curve_underwater_gate,threshold_retune_canary,threshold_overfit,global_required_control,record threshold before result and reject changes after result,threshold changed after forward read,block candidate read,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__lot_optimization_canary,defense_cost_curve_underwater_gate,lot_optimization_canary,sizing_overfit,global_required_control,keep lot logic fixed unless a separate predeclared sizing stage exists,lot altered to improve KPI,block operating claim,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__drop_shorts_after_loss_canary,defense_cost_curve_underwater_gate,drop_shorts_after_loss_canary,side_cherry_pick,global_required_control,require side failure evidence before any side exclusion,short side removed after observed loss,block side routing,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__single_regime_overfit_canary,defense_cost_curve_underwater_gate,single_regime_overfit_canary,regime_cherry_pick,global_required_control,require all regime slices and a negative-control slice,only profitable regime retained,block selection,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__compile_only_authority_canary,defense_cost_curve_underwater_gate,compile_only_authority_canary,runtime_parity_gap,global_required_control,reject compile-only runtime authority,MetaEditor compile used as tester substitute,block runtime claim,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__zero_cost_only_canary,defense_cost_curve_underwater_gate,zero_cost_only_canary,cost_fragility,explicit_branch_control,require nonzero cost stress before positive judgment,positive only under zero added cost,mark failure memory,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__after_result_feature_pick_canary,defense_cost_curve_underwater_gate,after_result_feature_pick_canary,feature_selection_leakage,global_required_control,feature families must be declared before forward/runtime result,feature family chosen after KPI,block branch,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__future_shift_join_canary,defense_direction_symmetry_negative_control,future_shift_join_canary,lookahead_join,global_required_control,force any nearest/future timestamp repair to fail,future or nearest trade key appears,block run and repair attribution logic,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__old_proxy_rank_canary,defense_direction_symmetry_negative_control,old_proxy_rank_canary,proxy_overfit,global_required_control,assert old proxy expected values never enter rank or Forward decision,old proxy column used as score input,block score packet,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__forward_pocket_filter_canary,defense_direction_symmetry_negative_control,forward_pocket_filter_canary,calendar_overfit,global_required_control,reject direct filter on known forward weak pocket,calendar pocket becomes branch rule,move to invalid setup,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__threshold_retune_canary,defense_direction_symmetry_negative_control,threshold_retune_canary,threshold_overfit,global_required_control,record threshold before result and reject changes after result,threshold changed after forward read,block candidate read,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__lot_optimization_canary,defense_direction_symmetry_negative_control,lot_optimization_canary,sizing_overfit,global_required_control,keep lot logic fixed unless a separate predeclared sizing stage exists,lot altered to improve KPI,block operating claim,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__drop_shorts_after_loss_canary,defense_direction_symmetry_negative_control,drop_shorts_after_loss_canary,side_cherry_pick,explicit_branch_control,require side failure evidence before any side exclusion,short side removed after observed loss,block side routing,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__single_regime_overfit_canary,defense_direction_symmetry_negative_control,single_regime_overfit_canary,regime_cherry_pick,global_required_control,require all regime slices and a negative-control slice,only profitable regime retained,block selection,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__compile_only_authority_canary,defense_direction_symmetry_negative_control,compile_only_authority_canary,runtime_parity_gap,global_required_control,reject compile-only runtime authority,MetaEditor compile used as tester substitute,block runtime claim,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__zero_cost_only_canary,defense_direction_symmetry_negative_control,zero_cost_only_canary,cost_fragility,global_required_control,require nonzero cost stress before positive judgment,positive only under zero added cost,mark failure memory,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__after_result_feature_pick_canary,defense_direction_symmetry_negative_control,after_result_feature_pick_canary,feature_selection_leakage,global_required_control,feature families must be declared before forward/runtime result,feature family chosen after KPI,block branch,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__future_shift_join_canary,offense_m48_plain_density_quality_seed,future_shift_join_canary,lookahead_join,global_required_control,force any nearest/future timestamp repair to fail,future or nearest trade key appears,block run and repair attribution logic,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__old_proxy_rank_canary,offense_m48_plain_density_quality_seed,old_proxy_rank_canary,proxy_overfit,global_required_control,assert old proxy expected values never enter rank or Forward decision,old proxy column used as score input,block score packet,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__forward_pocket_filter_canary,offense_m48_plain_density_quality_seed,forward_pocket_filter_canary,calendar_overfit,global_required_control,reject direct filter on known forward weak pocket,calendar pocket becomes branch rule,move to invalid setup,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__threshold_retune_canary,offense_m48_plain_density_quality_seed,threshold_retune_canary,threshold_overfit,global_required_control,record threshold before result and reject changes after result,threshold changed after forward read,block candidate read,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__lot_optimization_canary,offense_m48_plain_density_quality_seed,lot_optimization_canary,sizing_overfit,global_required_control,keep lot logic fixed unless a separate predeclared sizing stage exists,lot altered to improve KPI,block operating claim,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__drop_shorts_after_loss_canary,offense_m48_plain_density_quality_seed,drop_shorts_after_loss_canary,side_cherry_pick,global_required_control,require side failure evidence before any side exclusion,short side removed after observed loss,block side routing,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__single_regime_overfit_canary,offense_m48_plain_density_quality_seed,single_regime_overfit_canary,regime_cherry_pick,global_required_control,require all regime slices and a negative-control slice,only profitable regime retained,block selection,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__compile_only_authority_canary,offense_m48_plain_density_quality_seed,compile_only_authority_canary,runtime_parity_gap,global_required_control,reject compile-only runtime authority,MetaEditor compile used as tester substitute,block runtime claim,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__zero_cost_only_canary,offense_m48_plain_density_quality_seed,zero_cost_only_canary,cost_fragility,global_required_control,require nonzero cost stress before positive judgment,positive only under zero added cost,mark failure memory,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__after_result_feature_pick_canary,offense_m48_plain_density_quality_seed,after_result_feature_pick_canary,feature_selection_leakage,global_required_control,feature families must be declared before forward/runtime result,feature family chosen after KPI,block branch,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__future_shift_join_canary,offense_cost_buffer_feature_interaction_seed,future_shift_join_canary,lookahead_join,global_required_control,force any nearest/future timestamp repair to fail,future or nearest trade key appears,block run and repair attribution logic,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__old_proxy_rank_canary,offense_cost_buffer_feature_interaction_seed,old_proxy_rank_canary,proxy_overfit,global_required_control,assert old proxy expected values never enter rank or Forward decision,old proxy column used as score input,block score packet,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__forward_pocket_filter_canary,offense_cost_buffer_feature_interaction_seed,forward_pocket_filter_canary,calendar_overfit,global_required_control,reject direct filter on known forward weak pocket,calendar pocket becomes branch rule,move to invalid setup,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__threshold_retune_canary,offense_cost_buffer_feature_interaction_seed,threshold_retune_canary,threshold_overfit,global_required_control,record threshold before result and reject changes after result,threshold changed after forward read,block candidate read,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__lot_optimization_canary,offense_cost_buffer_feature_interaction_seed,lot_optimization_canary,sizing_overfit,global_required_control,keep lot logic fixed unless a separate predeclared sizing stage exists,lot altered to improve KPI,block operating claim,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__drop_shorts_after_loss_canary,offense_cost_buffer_feature_interaction_seed,drop_shorts_after_loss_canary,side_cherry_pick,global_required_control,require side failure evidence before any side exclusion,short side removed after observed loss,block side routing,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__single_regime_overfit_canary,offense_cost_buffer_feature_interaction_seed,single_regime_overfit_canary,regime_cherry_pick,explicit_branch_control,require all regime slices and a negative-control slice,only profitable regime retained,block selection,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__compile_only_authority_canary,offense_cost_buffer_feature_interaction_seed,compile_only_authority_canary,runtime_parity_gap,global_required_control,reject compile-only runtime authority,MetaEditor compile used as tester substitute,block runtime claim,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__zero_cost_only_canary,offense_cost_buffer_feature_interaction_seed,zero_cost_only_canary,cost_fragility,global_required_control,require nonzero cost stress before positive judgment,positive only under zero added cost,mark failure memory,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__after_result_feature_pick_canary,offense_cost_buffer_feature_interaction_seed,after_result_feature_pick_canary,feature_selection_leakage,explicit_branch_control,feature families must be declared before forward/runtime result,feature family chosen after KPI,block branch,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__future_shift_join_canary,runtime_parity_probe_bridge_contract,future_shift_join_canary,lookahead_join,global_required_control,force any nearest/future timestamp repair to fail,future or nearest trade key appears,block run and repair attribution logic,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__old_proxy_rank_canary,runtime_parity_probe_bridge_contract,old_proxy_rank_canary,proxy_overfit,global_required_control,assert old proxy expected values never enter rank or Forward decision,old proxy column used as score input,block score packet,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__forward_pocket_filter_canary,runtime_parity_probe_bridge_contract,forward_pocket_filter_canary,calendar_overfit,global_required_control,reject direct filter on known forward weak pocket,calendar pocket becomes branch rule,move to invalid setup,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__threshold_retune_canary,runtime_parity_probe_bridge_contract,threshold_retune_canary,threshold_overfit,global_required_control,record threshold before result and reject changes after result,threshold changed after forward read,block candidate read,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
