schema_id,branch_id,slice_id,output_field,bucket_policy,required_metrics,allowed_use,forbidden_use,claim_boundary
defense_cost_curve_underwater_gate__VIX,defense_cost_curve_underwater_gate,VIX,vix_level_or_change_bucket,risk proxy slice must remain diagnostic until fresh MT5 comparison,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__USD,defense_cost_curve_underwater_gate,USD,usdx_change_or_zscore_bucket,USD regime must not be selected after seeing branch PnL,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__rate,defense_cost_curve_underwater_gate,rate,us10yr_change_or_zscore_bucket,rate regime must remain attribution only unless separately validated,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__session,defense_direction_symmetry_negative_control,session,ny_session_bucket,predeclare cash/open/mid/close/off-session buckets without using forward result,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__hour,defense_direction_symmetry_negative_control,hour,broker_hour_and_ny_hour,report every hour; no after-result profitable hour filter,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__month,defense_direction_symmetry_negative_control,month,calendar_month,report month only for attribution; do not drop known weak calendar pocket,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__volatility,defense_direction_symmetry_negative_control,volatility,atr_hv_quantile,use predeclared quantile labels from training/reference window only,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__ADX,defense_direction_symmetry_negative_control,ADX,adx_strength_bucket,weak/medium/strong trend buckets must be reported for all branches,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__VIX,defense_direction_symmetry_negative_control,VIX,vix_level_or_change_bucket,risk proxy slice must remain diagnostic until fresh MT5 comparison,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__USD,defense_direction_symmetry_negative_control,USD,usdx_change_or_zscore_bucket,USD regime must not be selected after seeing branch PnL,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__rate,defense_direction_symmetry_negative_control,rate,us10yr_change_or_zscore_bucket,rate regime must remain attribution only unless separately validated,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__session,offense_m48_plain_density_quality_seed,session,ny_session_bucket,predeclare cash/open/mid/close/off-session buckets without using forward result,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__hour,offense_m48_plain_density_quality_seed,hour,broker_hour_and_ny_hour,report every hour; no after-result profitable hour filter,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__month,offense_m48_plain_density_quality_seed,month,calendar_month,report month only for attribution; do not drop known weak calendar pocket,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__volatility,offense_m48_plain_density_quality_seed,volatility,atr_hv_quantile,use predeclared quantile labels from training/reference window only,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__ADX,offense_m48_plain_density_quality_seed,ADX,adx_strength_bucket,weak/medium/strong trend buckets must be reported for all branches,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__VIX,offense_m48_plain_density_quality_seed,VIX,vix_level_or_change_bucket,risk proxy slice must remain diagnostic until fresh MT5 comparison,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__USD,offense_m48_plain_density_quality_seed,USD,usdx_change_or_zscore_bucket,USD regime must not be selected after seeing branch PnL,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__rate,offense_m48_plain_density_quality_seed,rate,us10yr_change_or_zscore_bucket,rate regime must remain attribution only unless separately validated,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__session,offense_cost_buffer_feature_interaction_seed,session,ny_session_bucket,predeclare cash/open/mid/close/off-session buckets without using forward result,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__hour,offense_cost_buffer_feature_interaction_seed,hour,broker_hour_and_ny_hour,report every hour; no after-result profitable hour filter,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__month,offense_cost_buffer_feature_interaction_seed,month,calendar_month,report month only for attribution; do not drop known weak calendar pocket,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__volatility,offense_cost_buffer_feature_interaction_seed,volatility,atr_hv_quantile,use predeclared quantile labels from training/reference window only,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__ADX,offense_cost_buffer_feature_interaction_seed,ADX,adx_strength_bucket,weak/medium/strong trend buckets must be reported for all branches,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__VIX,offense_cost_buffer_feature_interaction_seed,VIX,vix_level_or_change_bucket,risk proxy slice must remain diagnostic until fresh MT5 comparison,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__USD,offense_cost_buffer_feature_interaction_seed,USD,usdx_change_or_zscore_bucket,USD regime must not be selected after seeing branch PnL,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__rate,offense_cost_buffer_feature_interaction_seed,rate,us10yr_change_or_zscore_bucket,rate regime must remain attribution only unless separately validated,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__session,runtime_parity_probe_bridge_contract,session,ny_session_bucket,predeclare cash/open/mid/close/off-session buckets without using forward result,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__hour,runtime_parity_probe_bridge_contract,hour,broker_hour_and_ny_hour,report every hour; no after-result profitable hour filter,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__month,runtime_parity_probe_bridge_contract,month,calendar_month,report month only for attribution; do not drop known weak calendar pocket,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__volatility,runtime_parity_probe_bridge_contract,volatility,atr_hv_quantile,use predeclared quantile labels from training/reference window only,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__ADX,runtime_parity_probe_bridge_contract,ADX,adx_strength_bucket,weak/medium/strong trend buckets must be reported for all branches,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__VIX,runtime_parity_probe_bridge_contract,VIX,vix_level_or_change_bucket,risk proxy slice must remain diagnostic until fresh MT5 comparison,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
