manifest_id,branch_id,dimension,rank_use,forward_decision_use,diagnostic_use,old_proxy_value_allowed,required_rebuild_grain,acceptance_evidence,score_input_allowlist,forbidden_use,claim_boundary
repair_proxy_exclusion_handoff_contract__proxy_exclusion_trades_per_day,repair_proxy_exclusion_handoff_contract,trades_per_day,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_exclusion_underwater_stretch,repair_proxy_exclusion_handoff_contract,underwater_stretch,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_exclusion_overall_proxy_scout,repair_proxy_exclusion_handoff_contract,overall_proxy_scout,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__score_input_allowlist,repair_proxy_exclusion_handoff_contract,overall_scoring,predeclared_only_after_review,blocked,allowed_with_boundary,false,predeclared non-forward-pocket feature family;Tier A and Tier B records;runtime identity,future run must publish scoring feature list before seeing forward result,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,threshold_retune;lot_optimization;calendar_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__proxy_exclusion_curve_pocket,defense_cost_curve_underwater_gate,curve_pocket,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__proxy_exclusion_expectancy,defense_cost_curve_underwater_gate,expectancy,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__proxy_exclusion_long_short_attribution,defense_cost_curve_underwater_gate,long_short_attribution,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__proxy_exclusion_lot_normalized_result,defense_cost_curve_underwater_gate,lot_normalized_result,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__proxy_exclusion_max_drawdown,defense_cost_curve_underwater_gate,max_drawdown,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__proxy_exclusion_net_profit,defense_cost_curve_underwater_gate,net_profit,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__proxy_exclusion_profit_factor,defense_cost_curve_underwater_gate,profit_factor,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__proxy_exclusion_recovery_factor,defense_cost_curve_underwater_gate,recovery_factor,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__proxy_exclusion_session_hour_regime,defense_cost_curve_underwater_gate,session_hour_regime,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__proxy_exclusion_spread_slippage_stress,defense_cost_curve_underwater_gate,spread_slippage_stress,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__proxy_exclusion_trades_per_day,defense_cost_curve_underwater_gate,trades_per_day,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__proxy_exclusion_underwater_stretch,defense_cost_curve_underwater_gate,underwater_stretch,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__proxy_exclusion_overall_proxy_scout,defense_cost_curve_underwater_gate,overall_proxy_scout,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__score_input_allowlist,defense_cost_curve_underwater_gate,overall_scoring,predeclared_only_after_review,blocked,allowed_with_boundary,false,predeclared non-forward-pocket feature family;Tier A and Tier B records;runtime identity,future run must publish scoring feature list before seeing forward result,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,threshold_retune;lot_optimization;calendar_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__proxy_exclusion_curve_pocket,defense_direction_symmetry_negative_control,curve_pocket,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__proxy_exclusion_expectancy,defense_direction_symmetry_negative_control,expectancy,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__proxy_exclusion_long_short_attribution,defense_direction_symmetry_negative_control,long_short_attribution,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__proxy_exclusion_lot_normalized_result,defense_direction_symmetry_negative_control,lot_normalized_result,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__proxy_exclusion_max_drawdown,defense_direction_symmetry_negative_control,max_drawdown,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__proxy_exclusion_net_profit,defense_direction_symmetry_negative_control,net_profit,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__proxy_exclusion_profit_factor,defense_direction_symmetry_negative_control,profit_factor,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__proxy_exclusion_recovery_factor,defense_direction_symmetry_negative_control,recovery_factor,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__proxy_exclusion_session_hour_regime,defense_direction_symmetry_negative_control,session_hour_regime,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__proxy_exclusion_spread_slippage_stress,defense_direction_symmetry_negative_control,spread_slippage_stress,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__proxy_exclusion_trades_per_day,defense_direction_symmetry_negative_control,trades_per_day,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__proxy_exclusion_underwater_stretch,defense_direction_symmetry_negative_control,underwater_stretch,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__proxy_exclusion_overall_proxy_scout,defense_direction_symmetry_negative_control,overall_proxy_scout,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__score_input_allowlist,defense_direction_symmetry_negative_control,overall_scoring,predeclared_only_after_review,blocked,allowed_with_boundary,false,predeclared non-forward-pocket feature family;Tier A and Tier B records;runtime identity,future run must publish scoring feature list before seeing forward result,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,threshold_retune;lot_optimization;calendar_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__proxy_exclusion_curve_pocket,offense_m48_plain_density_quality_seed,curve_pocket,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__proxy_exclusion_expectancy,offense_m48_plain_density_quality_seed,expectancy,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
