schema_id,branch_id,runtime_subject,required_identity,required_check,acceptance_evidence,external_verification_status,preflight_status,forbidden,claim_boundary
defense_direction_symmetry_negative_control__feature_order_identity,defense_direction_symmetry_negative_control,Python parser to ONNX to MT5 input vector,58 feature order hash and closed-bar timing,"feature count, order hash, finite input audit, all-or-skip reason codes",row-level snapshot and hash in future runtime probe,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,feature_order_change_without_new_artifact;partial_bar_input,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__model_bundle_identity,defense_direction_symmetry_negative_control,ONNX bundle and adapter package,model hash;adapter hash;threshold/risk/lot config hash,Python ONNX inference equals MT5 ONNX output within tolerance,future parity CSV with probability and decision columns,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,silent_model_swap;threshold_retuning,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__mt5_report_telemetry_identity,defense_direction_symmetry_negative_control,Strategy Tester report and terminal file output,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,"parseable trade list, equity curve, skips/rejects, and settings",MT5 report and telemetry manifest in future run,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,runtime_authority_from_compile_only;missing_report_identity,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__row_level_runtime_parity,defense_direction_symmetry_negative_control,research signal versus MT5 decision,timestamp;decision;probability;direction;skip reason,"decision mismatch count, max probability diff, terminal flat gap",row-level parity report before runtime claim,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,aggregate_only_parity_claim,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__external_verification_status,defense_direction_symmetry_negative_control,future branch claims requiring MT5,completed;blocked;out_of_scope_by_claim;not_applicable,attempt command or exact blocker recorded,run_manifest external_verification_status field,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,repeat_missing_external_check_as_reviewed,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__feature_order_identity,offense_m48_plain_density_quality_seed,Python parser to ONNX to MT5 input vector,58 feature order hash and closed-bar timing,"feature count, order hash, finite input audit, all-or-skip reason codes",row-level snapshot and hash in future runtime probe,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,feature_order_change_without_new_artifact;partial_bar_input,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__model_bundle_identity,offense_m48_plain_density_quality_seed,ONNX bundle and adapter package,model hash;adapter hash;threshold/risk/lot config hash,Python ONNX inference equals MT5 ONNX output within tolerance,future parity CSV with probability and decision columns,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,silent_model_swap;threshold_retuning,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__mt5_report_telemetry_identity,offense_m48_plain_density_quality_seed,Strategy Tester report and terminal file output,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,"parseable trade list, equity curve, skips/rejects, and settings",MT5 report and telemetry manifest in future run,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,runtime_authority_from_compile_only;missing_report_identity,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__row_level_runtime_parity,offense_m48_plain_density_quality_seed,research signal versus MT5 decision,timestamp;decision;probability;direction;skip reason,"decision mismatch count, max probability diff, terminal flat gap",row-level parity report before runtime claim,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,aggregate_only_parity_claim,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__external_verification_status,offense_m48_plain_density_quality_seed,future branch claims requiring MT5,completed;blocked;out_of_scope_by_claim;not_applicable,attempt command or exact blocker recorded,run_manifest external_verification_status field,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,repeat_missing_external_check_as_reviewed,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__feature_order_identity,offense_cost_buffer_feature_interaction_seed,Python parser to ONNX to MT5 input vector,58 feature order hash and closed-bar timing,"feature count, order hash, finite input audit, all-or-skip reason codes",row-level snapshot and hash in future runtime probe,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,feature_order_change_without_new_artifact;partial_bar_input,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__model_bundle_identity,offense_cost_buffer_feature_interaction_seed,ONNX bundle and adapter package,model hash;adapter hash;threshold/risk/lot config hash,Python ONNX inference equals MT5 ONNX output within tolerance,future parity CSV with probability and decision columns,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,silent_model_swap;threshold_retuning,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__mt5_report_telemetry_identity,offense_cost_buffer_feature_interaction_seed,Strategy Tester report and terminal file output,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,"parseable trade list, equity curve, skips/rejects, and settings",MT5 report and telemetry manifest in future run,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,runtime_authority_from_compile_only;missing_report_identity,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__row_level_runtime_parity,offense_cost_buffer_feature_interaction_seed,research signal versus MT5 decision,timestamp;decision;probability;direction;skip reason,"decision mismatch count, max probability diff, terminal flat gap",row-level parity report before runtime claim,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,aggregate_only_parity_claim,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__external_verification_status,offense_cost_buffer_feature_interaction_seed,future branch claims requiring MT5,completed;blocked;out_of_scope_by_claim;not_applicable,attempt command or exact blocker recorded,run_manifest external_verification_status field,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,repeat_missing_external_check_as_reviewed,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__feature_order_identity,runtime_parity_probe_bridge_contract,Python parser to ONNX to MT5 input vector,58 feature order hash and closed-bar timing,"feature count, order hash, finite input audit, all-or-skip reason codes",row-level snapshot and hash in future runtime probe,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,feature_order_change_without_new_artifact;partial_bar_input,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__model_bundle_identity,runtime_parity_probe_bridge_contract,ONNX bundle and adapter package,model hash;adapter hash;threshold/risk/lot config hash,Python ONNX inference equals MT5 ONNX output within tolerance,future parity CSV with probability and decision columns,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,silent_model_swap;threshold_retuning,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__mt5_report_telemetry_identity,runtime_parity_probe_bridge_contract,Strategy Tester report and terminal file output,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,"parseable trade list, equity curve, skips/rejects, and settings",MT5 report and telemetry manifest in future run,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,runtime_authority_from_compile_only;missing_report_identity,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__row_level_runtime_parity,runtime_parity_probe_bridge_contract,research signal versus MT5 decision,timestamp;decision;probability;direction;skip reason,"decision mismatch count, max probability diff, terminal flat gap",row-level parity report before runtime claim,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,aggregate_only_parity_claim,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__external_verification_status,runtime_parity_probe_bridge_contract,future branch claims requiring MT5,completed;blocked;out_of_scope_by_claim;not_applicable,attempt command or exact blocker recorded,run_manifest external_verification_status field,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,repeat_missing_external_check_as_reviewed,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
