parameter,observed,expected,status,source,effect,claim_boundary
InpFallbackShortThreshold,0.55,0.55,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpFallbackLongThreshold,0.55,0.55,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpFallbackMinMargin,0,0,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpFixedLot,0.42,0.42,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpMaxHoldBars,1,1,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpAtrSltpEnabled,true,true,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpAtrPeriod,14,14,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpAtrStopMultiplier,0.78,0.78,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpAtrTakeProfitMultiplier,3.35,3.35,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpModelRiskSizingEnabled,true,true,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpModelRiskMinPct,0.004,0.004,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpModelRiskMaxPct,0.026,0.026,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpModelRiskFallbackLot,0.08,0.08,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpModelRiskConfidenceFloor,0.58,0.58,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpModelRiskConfidenceCeiling,0.99,0.99,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpExitRiskOverlayEnabled,false,false,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpEntryTransitionOnly,false,false,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpMagic,1001010,1001010,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
FromDate,2026.04.14,2026.04.14,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.ini,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
ToDate,2026.05.30,2026.05.30,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.ini,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
