candidate_alias,required_field,current_status,run267BA_status,tier_a_record_status,tier_b_record_status,actual_routed_total_status,duplicate_audit,run267BC_repair_input_status,next_required_action,effect
s264_aia,route_reconciliation_hash,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s258_stc,tier_a_primary_record_id,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s258_stc,tier_b_fallback_record_id,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s258_stc,route_rule_id,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s258_stc,fallback_trigger_condition,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s258_stc,fallback_used_count,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s258_stc,component_record_view,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s258_stc,actual_routed_total_record_view,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s258_stc,mt5_set_ini_pair,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s258_stc,trade_list_path,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s258_stc,route_reconciliation_hash,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
