review_id,blueprint_id,branch_id,blueprint_name,missing_fields,input_output_identity_review,gate_review,failure_condition_review,future_review_requirement_review,review_decision,next_required_scaffold,claim_boundary
offense_cost_buffer_feature_interaction_seed__regime_slice_runner__field_contract_review,offense_cost_buffer_feature_interaction_seed__regime_slice_runner,offense_cost_buffer_feature_interaction_seed,regime_slice_runner,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__cost_survival_validator__field_contract_review,offense_cost_buffer_feature_interaction_seed__cost_survival_validator,offense_cost_buffer_feature_interaction_seed,cost_survival_validator,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__after_result_feature_pick_canary_runner__field_contract_review,offense_cost_buffer_feature_interaction_seed__after_result_feature_pick_canary_runner,offense_cost_buffer_feature_interaction_seed,after_result_feature_pick_canary_runner,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__runtime_handoff_manifest_builder__field_contract_review,runtime_parity_probe_bridge_contract__runtime_handoff_manifest_builder,runtime_parity_probe_bridge_contract,runtime_handoff_manifest_builder,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__row_level_parity_schema_builder__field_contract_review,runtime_parity_probe_bridge_contract__row_level_parity_schema_builder,runtime_parity_probe_bridge_contract,row_level_parity_schema_builder,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__tester_telemetry_manifest_validator__field_contract_review,runtime_parity_probe_bridge_contract__tester_telemetry_manifest_validator,runtime_parity_probe_bridge_contract,tester_telemetry_manifest_validator,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__proxy_mt5_diff_table_builder__field_contract_review,runtime_parity_probe_bridge_contract__proxy_mt5_diff_table_builder,runtime_parity_probe_bridge_contract,proxy_mt5_diff_table_builder,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_negative_control_repair__branch_specific_canary_runner_matrix__field_contract_review,cross_branch_negative_control_repair__branch_specific_canary_runner_matrix,cross_branch_negative_control_repair,branch_specific_canary_runner_matrix,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_negative_control_repair__negative_control_binding_audit__field_contract_review,cross_branch_negative_control_repair__negative_control_binding_audit,cross_branch_negative_control_repair,negative_control_binding_audit,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__proxy_expected_table_schema__field_contract_review,cross_branch_runtime_usability__proxy_expected_table_schema,cross_branch_runtime_usability,proxy_expected_table_schema,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__fresh_mt5_runtime_probe_result_schema__field_contract_review,cross_branch_runtime_usability__fresh_mt5_runtime_probe_result_schema,cross_branch_runtime_usability,fresh_mt5_runtime_probe_result_schema,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__difference_table_schema__field_contract_review,cross_branch_runtime_usability__difference_table_schema,cross_branch_runtime_usability,difference_table_schema,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__usability_decision_template__field_contract_review,cross_branch_runtime_usability__usability_decision_template,cross_branch_runtime_usability,usability_decision_template,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_data_integrity__tier_pair_record_runner__field_contract_review,cross_branch_data_integrity__tier_pair_record_runner,cross_branch_data_integrity,tier_pair_record_runner,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_data_integrity__future_shift_join_canary_runner__field_contract_review,cross_branch_data_integrity__future_shift_join_canary_runner,cross_branch_data_integrity,future_shift_join_canary_runner,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_data_integrity__threshold_lot_freeze_manifest_builder__field_contract_review,cross_branch_data_integrity__threshold_lot_freeze_manifest_builder,cross_branch_data_integrity,threshold_lot_freeze_manifest_builder,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
