review_id,blueprint_id,branch_id,blueprint_family,missing_fields,execution_status_review,frozen_action_review,forbidden_review,future_scaffold_path_review,family_coverage_review,review_decision,next_required_scaffold,claim_boundary
runtime_parity_probe_bridge_contract__proxy_mt5_diff_table_builder__catalog_review,runtime_parity_probe_bridge_contract__proxy_mt5_diff_table_builder,runtime_parity_probe_bridge_contract,proxy_mt5,,passed,passed,passed,passed,passed,accepted_for_runner_scaffold_catalog,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_parity_probe_bridge_contract__proxy_mt5_diff_table_builder.csv,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_negative_control_repair__branch_specific_canary_runner_matrix__catalog_review,cross_branch_negative_control_repair__branch_specific_canary_runner_matrix,cross_branch_negative_control_repair,negative_control,,passed,passed,passed,passed,passed,accepted_for_runner_scaffold_catalog,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_negative_control_repair__branch_specific_canary_runner_matrix.csv,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_negative_control_repair__negative_control_binding_audit__catalog_review,cross_branch_negative_control_repair__negative_control_binding_audit,cross_branch_negative_control_repair,negative_control,,passed,passed,passed,passed,passed,accepted_for_runner_scaffold_catalog,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_negative_control_repair__negative_control_binding_audit.csv,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__proxy_expected_table_schema__catalog_review,cross_branch_runtime_usability__proxy_expected_table_schema,cross_branch_runtime_usability,proxy_mt5,,passed,passed,passed,passed,passed,accepted_for_runner_scaffold_catalog,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_runtime_usability__proxy_expected_table_schema.csv,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__fresh_mt5_runtime_probe_result_schema__catalog_review,cross_branch_runtime_usability__fresh_mt5_runtime_probe_result_schema,cross_branch_runtime_usability,proxy_mt5,,passed,passed,passed,passed,passed,accepted_for_runner_scaffold_catalog,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_runtime_usability__fresh_mt5_runtime_probe_result_schema.csv,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__difference_table_schema__catalog_review,cross_branch_runtime_usability__difference_table_schema,cross_branch_runtime_usability,proxy_mt5,,passed,passed,passed,passed,passed,accepted_for_runner_scaffold_catalog,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_runtime_usability__difference_table_schema.csv,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__usability_decision_template__catalog_review,cross_branch_runtime_usability__usability_decision_template,cross_branch_runtime_usability,proxy_mt5,,passed,passed,passed,passed,passed,accepted_for_runner_scaffold_catalog,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_runtime_usability__usability_decision_template.csv,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_data_integrity__tier_pair_record_runner__catalog_review,cross_branch_data_integrity__tier_pair_record_runner,cross_branch_data_integrity,tier_integrity,,passed,passed,passed,passed,passed,accepted_for_runner_scaffold_catalog,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_data_integrity__tier_pair_record_runner.csv,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_data_integrity__future_shift_join_canary_runner__catalog_review,cross_branch_data_integrity__future_shift_join_canary_runner,cross_branch_data_integrity,negative_control,,passed,passed,passed,passed,passed,accepted_for_runner_scaffold_catalog,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_data_integrity__future_shift_join_canary_runner.csv,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_data_integrity__threshold_lot_freeze_manifest_builder__catalog_review,cross_branch_data_integrity__threshold_lot_freeze_manifest_builder,cross_branch_data_integrity,tier_integrity,,passed,passed,passed,passed,passed,accepted_for_runner_scaffold_catalog,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_data_integrity__threshold_lot_freeze_manifest_builder.csv,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
