preflight_id,branch_id,runtime_subject,required_check,required_log_fields,attempted_at_utc,command_or_tool,terminal_path,settings_path,output_path,exit_status,error_log,blocker,source_schema_sha256,template_status,external_verification_status,runtime_authority_use,claim_boundary
defense_direction_symmetry_negative_control__feature_order_identity,defense_direction_symmetry_negative_control,Python parser to ONNX to MT5 input vector,"feature count, order hash, finite input audit, all-or-skip reason codes",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__model_bundle_identity,defense_direction_symmetry_negative_control,ONNX bundle and adapter package,Python ONNX inference equals MT5 ONNX output within tolerance,attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__mt5_report_telemetry_identity,defense_direction_symmetry_negative_control,Strategy Tester report and terminal file output,"parseable trade list, equity curve, skips/rejects, and settings",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__row_level_runtime_parity,defense_direction_symmetry_negative_control,research signal versus MT5 decision,"decision mismatch count, max probability diff, terminal flat gap",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__external_verification_status,defense_direction_symmetry_negative_control,future branch claims requiring MT5,attempt command or exact blocker recorded,attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__feature_order_identity,offense_m48_plain_density_quality_seed,Python parser to ONNX to MT5 input vector,"feature count, order hash, finite input audit, all-or-skip reason codes",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__model_bundle_identity,offense_m48_plain_density_quality_seed,ONNX bundle and adapter package,Python ONNX inference equals MT5 ONNX output within tolerance,attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__mt5_report_telemetry_identity,offense_m48_plain_density_quality_seed,Strategy Tester report and terminal file output,"parseable trade list, equity curve, skips/rejects, and settings",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__row_level_runtime_parity,offense_m48_plain_density_quality_seed,research signal versus MT5 decision,"decision mismatch count, max probability diff, terminal flat gap",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__external_verification_status,offense_m48_plain_density_quality_seed,future branch claims requiring MT5,attempt command or exact blocker recorded,attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__feature_order_identity,offense_cost_buffer_feature_interaction_seed,Python parser to ONNX to MT5 input vector,"feature count, order hash, finite input audit, all-or-skip reason codes",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__model_bundle_identity,offense_cost_buffer_feature_interaction_seed,ONNX bundle and adapter package,Python ONNX inference equals MT5 ONNX output within tolerance,attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__mt5_report_telemetry_identity,offense_cost_buffer_feature_interaction_seed,Strategy Tester report and terminal file output,"parseable trade list, equity curve, skips/rejects, and settings",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__row_level_runtime_parity,offense_cost_buffer_feature_interaction_seed,research signal versus MT5 decision,"decision mismatch count, max probability diff, terminal flat gap",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__external_verification_status,offense_cost_buffer_feature_interaction_seed,future branch claims requiring MT5,attempt command or exact blocker recorded,attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__feature_order_identity,runtime_parity_probe_bridge_contract,Python parser to ONNX to MT5 input vector,"feature count, order hash, finite input audit, all-or-skip reason codes",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
