preflight_id,branch_id,runtime_subject,required_check,row_level_parity_binding_review,external_verification_log_review,runtime_authority_boundary_review,result_pending_review,review_decision,next_required_action,claim_boundary
defense_direction_symmetry_negative_control__feature_order_identity,defense_direction_symmetry_negative_control,Python parser to ONNX to MT5 input vector,"feature count, order hash, finite input audit, all-or-skip reason codes",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__model_bundle_identity,defense_direction_symmetry_negative_control,ONNX bundle and adapter package,Python ONNX inference equals MT5 ONNX output within tolerance,passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__mt5_report_telemetry_identity,defense_direction_symmetry_negative_control,Strategy Tester report and terminal file output,"parseable trade list, equity curve, skips/rejects, and settings",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__row_level_runtime_parity,defense_direction_symmetry_negative_control,research signal versus MT5 decision,"decision mismatch count, max probability diff, terminal flat gap",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__external_verification_status,defense_direction_symmetry_negative_control,future branch claims requiring MT5,attempt command or exact blocker recorded,passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__feature_order_identity,offense_m48_plain_density_quality_seed,Python parser to ONNX to MT5 input vector,"feature count, order hash, finite input audit, all-or-skip reason codes",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__model_bundle_identity,offense_m48_plain_density_quality_seed,ONNX bundle and adapter package,Python ONNX inference equals MT5 ONNX output within tolerance,passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__mt5_report_telemetry_identity,offense_m48_plain_density_quality_seed,Strategy Tester report and terminal file output,"parseable trade list, equity curve, skips/rejects, and settings",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__row_level_runtime_parity,offense_m48_plain_density_quality_seed,research signal versus MT5 decision,"decision mismatch count, max probability diff, terminal flat gap",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__external_verification_status,offense_m48_plain_density_quality_seed,future branch claims requiring MT5,attempt command or exact blocker recorded,passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__feature_order_identity,offense_cost_buffer_feature_interaction_seed,Python parser to ONNX to MT5 input vector,"feature count, order hash, finite input audit, all-or-skip reason codes",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__model_bundle_identity,offense_cost_buffer_feature_interaction_seed,ONNX bundle and adapter package,Python ONNX inference equals MT5 ONNX output within tolerance,passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__mt5_report_telemetry_identity,offense_cost_buffer_feature_interaction_seed,Strategy Tester report and terminal file output,"parseable trade list, equity curve, skips/rejects, and settings",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__row_level_runtime_parity,offense_cost_buffer_feature_interaction_seed,research signal versus MT5 decision,"decision mismatch count, max probability diff, terminal flat gap",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__external_verification_status,offense_cost_buffer_feature_interaction_seed,future branch claims requiring MT5,attempt command or exact blocker recorded,passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__feature_order_identity,runtime_parity_probe_bridge_contract,Python parser to ONNX to MT5 input vector,"feature count, order hash, finite input audit, all-or-skip reason codes",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__model_bundle_identity,runtime_parity_probe_bridge_contract,ONNX bundle and adapter package,Python ONNX inference equals MT5 ONNX output within tolerance,passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__mt5_report_telemetry_identity,runtime_parity_probe_bridge_contract,Strategy Tester report and terminal file output,"parseable trade list, equity curve, skips/rejects, and settings",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__row_level_runtime_parity,runtime_parity_probe_bridge_contract,research signal versus MT5 decision,"decision mismatch count, max probability diff, terminal flat gap",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__external_verification_status,runtime_parity_probe_bridge_contract,future branch claims requiring MT5,attempt command or exact blocker recorded,passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
