blueprint_id,branch_id,blueprint_family,scaffold_path,accepted_for_run336J_probe_materialization,blocked_until,required_next_materialization,forbidden_use,review_decision,claim_boundary
offense_m48_plain_density_quality_seed__feature_family_seed_card_builder,offense_m48_plain_density_quality_seed,offense_feature,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__feature_family_seed_card_builder.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__trade_density_target_runner,offense_m48_plain_density_quality_seed,offense_feature,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__trade_density_target_runner.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__m48_clue_promotion_canary_runner,offense_m48_plain_density_quality_seed,negative_control,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__m48_clue_promotion_canary_runner.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__copy_runtime_result_canary_runner,offense_m48_plain_density_quality_seed,negative_control,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__copy_runtime_result_canary_runner.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__interaction_family_matrix_builder,offense_cost_buffer_feature_interaction_seed,offense_feature,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_cost_buffer_feature_interaction_seed__interaction_family_matrix_builder.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__regime_slice_runner,offense_cost_buffer_feature_interaction_seed,regime,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_cost_buffer_feature_interaction_seed__regime_slice_runner.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__cost_survival_validator,offense_cost_buffer_feature_interaction_seed,cost_curve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_cost_buffer_feature_interaction_seed__cost_survival_validator.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__after_result_feature_pick_canary_runner,offense_cost_buffer_feature_interaction_seed,negative_control,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_cost_buffer_feature_interaction_seed__after_result_feature_pick_canary_runner.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__runtime_handoff_manifest_builder,runtime_parity_probe_bridge_contract,runtime_identity,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_parity_probe_bridge_contract__runtime_handoff_manifest_builder.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__row_level_parity_schema_builder,runtime_parity_probe_bridge_contract,runtime_identity,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_parity_probe_bridge_contract__row_level_parity_schema_builder.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__tester_telemetry_manifest_validator,runtime_parity_probe_bridge_contract,runtime_identity,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_parity_probe_bridge_contract__tester_telemetry_manifest_validator.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__proxy_mt5_diff_table_builder,runtime_parity_probe_bridge_contract,proxy_mt5,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_parity_probe_bridge_contract__proxy_mt5_diff_table_builder.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_negative_control_repair__branch_specific_canary_runner_matrix,cross_branch_negative_control_repair,negative_control,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_negative_control_repair__branch_specific_canary_runner_matrix.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_negative_control_repair__negative_control_binding_audit,cross_branch_negative_control_repair,negative_control,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_negative_control_repair__negative_control_binding_audit.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__proxy_expected_table_schema,cross_branch_runtime_usability,proxy_mt5,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_runtime_usability__proxy_expected_table_schema.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__fresh_mt5_runtime_probe_result_schema,cross_branch_runtime_usability,proxy_mt5,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_runtime_usability__fresh_mt5_runtime_probe_result_schema.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__difference_table_schema,cross_branch_runtime_usability,proxy_mt5,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_runtime_usability__difference_table_schema.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_runtime_usability__usability_decision_template,cross_branch_runtime_usability,proxy_mt5,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_runtime_usability__usability_decision_template.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_data_integrity__tier_pair_record_runner,cross_branch_data_integrity,tier_integrity,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_data_integrity__tier_pair_record_runner.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_data_integrity__future_shift_join_canary_runner,cross_branch_data_integrity,negative_control,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_data_integrity__future_shift_join_canary_runner.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cross_branch_data_integrity__threshold_lot_freeze_manifest_builder,cross_branch_data_integrity,tier_integrity,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_data_integrity__threshold_lot_freeze_manifest_builder.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
