source_path,exists,sha256,row_count_or_keys,review_status,allowed_use,forbidden_use,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/claim_guard_runner_scaffold.csv,true,070ad91ebf5767babdb8942500648210e6d4c11aedff86c88c1074de64b0fb52,11,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/package_index_runner_scaffold.csv,true,b22ca4f2d89ee1ef5c181eb9e652747931b0e447681e2db909703332150d4ae1,1,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/preflight_checklist.csv,true,cadde7cf8c85d54b28bc7706a02e89961fe85fc11b707718d7bc6591a18fde68,54,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/blocked_execution_command.csv,true,b3b9a9e6871c03f8eeb8e899bce3cbd40ebd3a6999c5303bebbb579b8da3a068,9,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/claim_boundary_receipt.json,true,4b0c78879279ec4e9a6337f027571294f36c6a1c7623a1774d729c82c2452ac4,claim_boundary;deployment;effect;forbidden;forward_failed;forward_passed;goal_achieve;live_readiness;model_training;mt5_execution;operating_promotion;run_id;runtime_authority;selected_candidate,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/run337K_runner_scaffold_review_queue.csv,true,784fc3a2a8ffd874da420097cb15c42c6190c323e8f9fb5b72aee15140b306cf,9,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/required_gate_coverage_audit.csv,true,5d54cf3b9b96dad8d3b6a8deb8a3dd4a1c7f9efde541f54fc06643ab225e0321,10,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/result_judgment.csv,true,c791d1e4451c195a09dd234bf181c626d059cc111f72a901edef74b05a930522,1,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/final_runner_scaffold_materialization_decision.json,true,0dbff700c994c25b346e7de6e384bd3c587a7d362a90e0869141838fb04d9da6,claim_boundary;decision;failed_gates;forward_failed;forward_passed;goal_achieve;judgment;metrics;model_training;mt5_execution;next_action;parent_run_id;run_id;runtime_authority;selected_candidate;stage_id;status,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/run_manifest.json,true,ac99956f4d11fddd4807779080e1ef41b919cae07b9cf6d603550aa2b4c3d41f,claim_boundary;created_at_utc;decision;external_verification_status;next_action;outputs;parent_run_id;producer;run_id;run_number;source_inputs;stage_id;status,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
docs/registers/artifact_registry.csv,true,1fb6afddb86306a8e09638f76984a361a74ef1811df74e48aacbe54a6e8ebf9e,16243,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
