branch_id,branch_name,guard_id,rejected_bias_path,enforcement,materialization_check,claim_boundary
run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,no_subject_swap,positive result from nonmatching report/model/handoff cannot prove cp322A exact or another subject,subject boundary metric rejects mismatch and marks control-only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,no_proxy_aggregate_promotion,repeated aggregate proxy numbers cannot stand in for branch-specific runtime outcome,run335N must parse trade ledger and recompute branch metrics,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,no_outcome_chosen_date_window,date/month/hour/pocket windows cannot be selected after seeing runtime profit,use predeclared rolling trade windows and predeclared session/hour/regime bins only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,no_threshold_or_margin_retune,score threshold and D/B surface cannot move after new data is observed,all extraction rows carry fixed-threshold identity and no-retune rule,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,no_lot_or_cost_grid_optimization,lot and spread/slippage grid cannot be chosen to rescue KPI,cost grid is predeclared and applied uniformly to all branches/attempts,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,no_side_drop,long or short cannot be removed because one side is weak,"direction report always includes long, short, and combined total",run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,no_subject_swap,positive result from nonmatching report/model/handoff cannot prove cp322A exact or another subject,subject boundary metric rejects mismatch and marks control-only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,no_proxy_aggregate_promotion,repeated aggregate proxy numbers cannot stand in for branch-specific runtime outcome,run335N must parse trade ledger and recompute branch metrics,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,no_outcome_chosen_date_window,date/month/hour/pocket windows cannot be selected after seeing runtime profit,use predeclared rolling trade windows and predeclared session/hour/regime bins only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,no_threshold_or_margin_retune,score threshold and D/B surface cannot move after new data is observed,all extraction rows carry fixed-threshold identity and no-retune rule,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,no_lot_or_cost_grid_optimization,lot and spread/slippage grid cannot be chosen to rescue KPI,cost grid is predeclared and applied uniformly to all branches/attempts,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,no_side_drop,long or short cannot be removed because one side is weak,"direction report always includes long, short, and combined total",run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,no_subject_swap,positive result from nonmatching report/model/handoff cannot prove cp322A exact or another subject,subject boundary metric rejects mismatch and marks control-only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,no_proxy_aggregate_promotion,repeated aggregate proxy numbers cannot stand in for branch-specific runtime outcome,run335N must parse trade ledger and recompute branch metrics,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,no_outcome_chosen_date_window,date/month/hour/pocket windows cannot be selected after seeing runtime profit,use predeclared rolling trade windows and predeclared session/hour/regime bins only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,no_threshold_or_margin_retune,score threshold and D/B surface cannot move after new data is observed,all extraction rows carry fixed-threshold identity and no-retune rule,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,no_lot_or_cost_grid_optimization,lot and spread/slippage grid cannot be chosen to rescue KPI,cost grid is predeclared and applied uniformly to all branches/attempts,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,no_side_drop,long or short cannot be removed because one side is weak,"direction report always includes long, short, and combined total",run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,no_subject_swap,positive result from nonmatching report/model/handoff cannot prove cp322A exact or another subject,subject boundary metric rejects mismatch and marks control-only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,no_proxy_aggregate_promotion,repeated aggregate proxy numbers cannot stand in for branch-specific runtime outcome,run335N must parse trade ledger and recompute branch metrics,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,no_outcome_chosen_date_window,date/month/hour/pocket windows cannot be selected after seeing runtime profit,use predeclared rolling trade windows and predeclared session/hour/regime bins only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,no_threshold_or_margin_retune,score threshold and D/B surface cannot move after new data is observed,all extraction rows carry fixed-threshold identity and no-retune rule,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,no_lot_or_cost_grid_optimization,lot and spread/slippage grid cannot be chosen to rescue KPI,cost grid is predeclared and applied uniformly to all branches/attempts,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,no_side_drop,long or short cannot be removed because one side is weak,"direction report always includes long, short, and combined total",run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,no_subject_swap,positive result from nonmatching report/model/handoff cannot prove cp322A exact or another subject,subject boundary metric rejects mismatch and marks control-only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,no_proxy_aggregate_promotion,repeated aggregate proxy numbers cannot stand in for branch-specific runtime outcome,run335N must parse trade ledger and recompute branch metrics,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,no_outcome_chosen_date_window,date/month/hour/pocket windows cannot be selected after seeing runtime profit,use predeclared rolling trade windows and predeclared session/hour/regime bins only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,no_threshold_or_margin_retune,score threshold and D/B surface cannot move after new data is observed,all extraction rows carry fixed-threshold identity and no-retune rule,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,no_lot_or_cost_grid_optimization,lot and spread/slippage grid cannot be chosen to rescue KPI,cost grid is predeclared and applied uniformly to all branches/attempts,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,no_side_drop,long or short cannot be removed because one side is weak,"direction report always includes long, short, and combined total",run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,no_subject_swap,positive result from nonmatching report/model/handoff cannot prove cp322A exact or another subject,subject boundary metric rejects mismatch and marks control-only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,no_proxy_aggregate_promotion,repeated aggregate proxy numbers cannot stand in for branch-specific runtime outcome,run335N must parse trade ledger and recompute branch metrics,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,no_outcome_chosen_date_window,date/month/hour/pocket windows cannot be selected after seeing runtime profit,use predeclared rolling trade windows and predeclared session/hour/regime bins only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,no_threshold_or_margin_retune,score threshold and D/B surface cannot move after new data is observed,all extraction rows carry fixed-threshold identity and no-retune rule,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,no_lot_or_cost_grid_optimization,lot and spread/slippage grid cannot be chosen to rescue KPI,cost grid is predeclared and applied uniformly to all branches/attempts,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,no_side_drop,long or short cannot be removed because one side is weak,"direction report always includes long, short, and combined total",run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,no_subject_swap,positive result from nonmatching report/model/handoff cannot prove cp322A exact or another subject,subject boundary metric rejects mismatch and marks control-only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,no_proxy_aggregate_promotion,repeated aggregate proxy numbers cannot stand in for branch-specific runtime outcome,run335N must parse trade ledger and recompute branch metrics,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,no_outcome_chosen_date_window,date/month/hour/pocket windows cannot be selected after seeing runtime profit,use predeclared rolling trade windows and predeclared session/hour/regime bins only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,no_threshold_or_margin_retune,score threshold and D/B surface cannot move after new data is observed,all extraction rows carry fixed-threshold identity and no-retune rule,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,no_lot_or_cost_grid_optimization,lot and spread/slippage grid cannot be chosen to rescue KPI,cost grid is predeclared and applied uniformly to all branches/attempts,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,no_side_drop,long or short cannot be removed because one side is weak,"direction report always includes long, short, and combined total",run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,no_subject_swap,positive result from nonmatching report/model/handoff cannot prove cp322A exact or another subject,subject boundary metric rejects mismatch and marks control-only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
